"","study",".id",".g",".g_se","condition_arm1","condition_arm2","country_origin","income","multi_arm1","multi_arm2","outcome_type","outcome_domain","gambling_outcome","instrument","mean_arm1","sd_arm1","n_arm1","mean_arm2","sd_arm2","n_arm2","md_arm1varm2","common_sd_arm1vsarm2","year","time_weeks","time","format","format_details","country","mean_age","percent_women","sg","ac","ba","itt","rob","full_ref","doi","abstract","title","url","journal","id_study","culture"
"11","Marceaux, 2011","Marceaux, 2011",3.29389305790606,0.663699905435417,"cbt","wl","USA","H",NA,NA,"msd","gambling","severity","dsm-iv",1.07,1.16,15,6.71,2.43,7,NA,NA,2011,8,"post","grp","grp","us",49,0.62,0,0,0,0,0,"Marceaux, J. C., & Melville, C. L. (2011). Twelve-step facilitated versus mapping-enhanced cognitive-behavioral therapy for pathological gambling: A controlled study. Journal of Gambling Studies, 27(1), 171-190.","10.1007/s10899-010-9196-y","This study examined the efficacy of two group treatments for pathological gambling, a node-link mapping-enhanced cognitive-behavioral group therapy (CBGT-mapping) and twelve-step facilitated (TSF) group treatment. Forty-nine participants meeting criteria for pathological gambling were recruited from local newspaper advertisements. These participants were randomly assigned to one of three conditions: TSF (n = 11), CBGT-mapping (n = 18), and Wait-List control (n = 9); 11 refused treatment prior to randomization. Outcome measures included number of DSM-IV criteria met, perception of control/self-efficacy, desire to gamble, and frequency of gambling episodes. Analyses revealed a significant treatment group × time interaction (η²partial = .39). Specifically, the group treatments resulted in significant improvements in the dependent measures, while the Wait-List group remained relatively stable. Overall, CBGT-mapping and TSF had no significant differences on any outcome measure at follow-up assessments. Analysis of post-treatment and 6-month follow-up reveal a significant improvement in gambling outcomes (i.e., fewer DSM-IV criteria met, greater self-efficacy, and fewer gambling episodes (η²partial = .35), with treatment gains maintained at 6 months. These results are consistent with previous research for group treatment for pathological gambling and provide support for the utility of TSF and a mapping-based CBT therapy as viable intervention for pathological gambling.","Twelve-Step Facilitated Versus Mapping-Enhanced Cognitive-Behavioral Therapy for Pathological Gambling: A Controlled Study","https://link.springer.com/article/10.1007/s10899-010-9196-y","Journal of Gambling Studies","Marceaux, 2011","A - Western"
"12","Myrseth, 2009","Myrseth, 2009",0.770185177652907,0.521142376557717,"cbt","wl","Norway","H",NA,NA,"msd","gambling","severity","dsm-iv",1.57,2.64,7,4.57,4.43,7,NA,NA,2009,7,"post","ind","ind","eu",37.4,0.21,0,0,0,0,0,"Myrseth, H., Litlerè, I., Støylen, I. J., & Pallesen, S. (2009). A controlled study of the effect of cognitive–behavioural group therapy for pathological gamblers. Nordic Journal of Psychiatry, 63(1), 22-31.","10.1080/08039480802055139","As the number of pathological gamblers has increased recently, the need for effective treatment has become more evident. The aim of this study was to evaluate the effectiveness of a short-term cognitive–behavioural group therapy programme for pathological gamblers. Fourteen subjects (three females and 11 males), who met the criteria for pathological gambling in accordance with the Diagnostic and Statistical Manual of Mental Disorders IV, were randomly assigned to a Treatment Group (n=7) or a waiting list Control Group (n=7). An experimental design with three repeated measures was used (pre-treatment, post-treatment/post-waiting list and follow-up). The dependent variables were DSM-IV Criteria for Pathological Gambling, Money Spent on Gambling During the Last Week and Gamblers Inventory of Negative Consequences. The Treatment Group improved on the DSM-IV Criteria for Pathological Gambling, but did not show a significant improvement on Money Spent on Gambling During the Last week from pre-treatment to post-treatment. Combining both groups at 3-months follow-up, there was a significant improvement on all three variables from pre-treatment to follow-up. The results of this controlled study indicate that a short-term cognitive–behavioural group treatment for pathological gamblers had an effect.","A controlled study of the effect of cognitive–behavioural group therapy for pathological gamblers","https://www.tandfonline.com/doi/abs/10.1080/08039480802055139","Nordic Journal of Psychiatry ","Myrseth, 2009","A - Western"
"13","Toneatto, 2014","Toneatto, 2014",1.14079843866459,0.487557885603909,"cbt","wl","Canada","H",NA,NA,"msd","gambling","severity","dsm-iv",3.44,3,9,6.71,2.43,9,NA,NA,2014,7,"post","grp","grp","can",44.1,0.44,0,0,0,1,1,"Toneatto, T., Pillai, S., & Courtice, E. L. (2014). Mindfulness-enhanced cognitive behavior therapy for problem gambling: A controlled pilot study. International Journal of Mental Health and Addiction, 12(2), 197-205.","10.1007/s11469-014-9481-6","In recent years, mindfulness meditation has shown to be a promising approach for alleviating disability and dysfunction associated with a wide range of medical and psychiatric conditions. To date, there have been no controlled clinical studies of mindfulness for problem gambling (beyond case studies) despite the well-established presence of irrational beliefs and cognitive distortions which would suggest that mindfulness interventions would be particularly suitable. In the present study, a group, five-session, mindfulness intervention was integrated into an empirically-effective cognitive-behavioral therapy for problem gamblers. Compared to a wait list control the mindfulness intervention significantly reduced the severity of gambling, gambling urges and psychiatric symptoms at end-of-treatment. At the 3-month follow-up combining the results of both groups the results were maintained. In addition, a significant decrease in the proportion of the sample meeting criteria for pathological gambling was found. Those individuals who reported some mindfulness practice post-treatment showed significantly better clinical outcomes than did those who did not report any mindfulness practice suggesting that mindfulness did play a role in the outcomes observed. Taking into consideration the multiple methodological limitations of this pilot study there is sufficient evidence to further investigate the potential efficacy of mindfulness interventions for problem gambling.","Mindfulness-Enhanced Cognitive Behavior Therapy for Problem Gambling: A Controlled Pilot Study","https://link.springer.com/article/10.1007/s11469-014-9481-6","International Journal of Mental Health and Addiction","Toneatto, 2014","A - Western"
"14","Boudreault, 2018","Boudreault, 2018",0.593641469121034,0.274236422317425,"cbt","wl","Canada","H",NA,NA,"msd","gambling","duration","duration",8.44,10.81,27,24.92,37.15,27,NA,NA,2018,11,"post","ind","ind","can",51.5,0.39,1,0,0,1,2,"Boudreault, C., Giroux, I., Jacques, C., Goulet, A., Simoneau, H., & Ladouceur, R. (2018). Efficacy of a self-help treatment for at-risk and pathological gamblers. Journal of Gambling Studies, 34(2), 561-580.","10.1007/s10899-017-9717-z","Available evidence suggests that self-help treatments may reduce problem gambling severity but inconsistencies of results across clinical trials leave the extent of their benefits unclear. Moreover, no self-help treatment has yet been validated within a French Canadian setting. The current study therefore assesses the efficacy of a French language self-help treatment including three motivational telephone interviews spread over an 11-week period and a cognitive-behavioral self-help workbook. At-risk and pathological gamblers were randomly assigned to the treatment group (n = 31) or the waiting list (n = 31). Relative to the waiting list, the treatment group showed a statistically significant reduction in the number of DSM-5 gambling disorder criteria met, gambling habits, and gambling consequences at Week 11. Perceived self-efficacy and life satisfaction also significantly improved after 11 weeks for the treatment group, but not for the waiting list group. At Week 11, 13% of participants had dropped out of the study. All significant changes reported for the treatment group were maintained throughout 1, 6 and 12-month follow-ups. Results support the efficacy of the self-help treatment to reduce problem gambling severity, gambling behaviour and to improve overall functioning among a sample of French Canadian problem gamblers over short, medium and long term. Findings from this study lend support to the appropriateness of self-help treatments for problem gamblers and help clarify inconsistencies found in the literature. The low dropout rate is discussed with respect to the advantages of the self-help format. Clinical and methodological implications of the results are put forth.","Efficacy of a Self-Help Treatment for At-Risk and Pathological Gamblers","https://link.springer.com/article/10.1007/s10899-017-9717-z","Journal of Gambling Studies","Boudreault, 2018","A - Western"
"15","Carlbring, 2010","Carlbring, 2010",-0.962549160441892,0.637987325120848,"cbt","wl","Sweden","H",NA,NA,"msd","gambling","duration","duration",1468.8,1155.64,5,434,591.7,4,NA,NA,2010,12,"post","ind","ind","eu",40.5,0.16,1,1,0,1,3,"Carlbring, P., Jonsson, J., Josephson, H., & Forsberg, L. (2010). Motivational interviewing versus cognitive behavioral group therapy in the treatment of problem and pathological gambling: A randomized controlled trial. Cognitive Behaviour Therapy, 39(2), 92-103.","10.1080/16506070903190245","Pathological gambling is a widespread problem with major implications for society and the individual. There are effective treatments, but little is known about the relative effectiveness of different treatments. The aim of this study was to test the effectiveness of motivational interviewing, cognitive behavioral group therapy, and a no-treatment control (wait-list) in the treatment of pathological gambling. This was done in a randomized controlled trial at an outpatient dependency clinic at Karolinska Institute (Stockholm, Sweden). A total of 150 primarily self-recruited patients with current gambling problems or pathological gambling according to an NORC DSM-IV screen for gambling problems were randomized to four individual sessions of motivational interviewing (MI), eight sessions of cognitive behavioral group therapy (CBGT), or a no-treatment wait-list control. Gambling-related measures derived from timeline follow-back as well as general levels of anxiety and depression were administered at baseline, termination, and 6 and 12 months posttermination. Treatment showed superiority in some areas over the no-treatment control in the short term, including the primary outcome measure. No differences were found between MI and CBGT at any point in time. Instead, both MI and CBGT produced significant within-group decreases on most outcome measures up to the 12-month follow-up. Both forms of intervention are promising treatments, but there is room for improvement in terms of both outcome and compliance.","Motivational Interviewing Versus Cognitive Behavioral Group Therapy in the Treatment of Problem and Pathological Gambling: A Randomized Controlled Trial","https://www.tandfonline.com/doi/full/10.1080/16506070903190245","Cognitive Behaviour Therapy ","Carlbring, 2010","A - Western"
"16","Dowling, 2007","Dowling, 2007",1.06507991567754,0.380026722026754,"cbt","wl","Australia","H","ind","wl","msd","gambling","duration","duration",45,83,12,265,245,20,NA,NA,2007,12,"post","ind","ind","au",44,1,0,0,0,1,1,"Dowling, N., Smith, D., & Thomas, T. (2007). A comparison of individual and group cognitive-behavioural treatment for female pathological gambling. Behaviour Research and Therapy, 45(9), 2192-2202.","10.1016/j.brat.2006.11.003","The current study aimed to determine the differential efficacy of a cognitive-behavioural treatment program for female pathological gamblers delivered in individual and group format. Fifty-six female pathological gamblers with electronic gaming machine gambling problems were randomly assigned to the control (waiting list) group or one of the treatment groups (individual or group treatment). Treatment comprised a 12-session program including financial limit setting, alternative activity planning, cognitive correction, problem solving, communication training, relapse prevention, and imaginal desensitisation. Treatment outcome was evaluated with conceptually related measures within the areas of gambling behaviour and psychological functioning. While individual and group treatment formats generally produced comparable outcomes in terms of gambling behaviour and psychological functioning, group treatment failed to produce superior outcomes to the control group in relation to several measures of psychological functioning. Moreover, by the completion of the six-month follow-up, 92% of the gamblers allocated to individual treatment compared with 60% allocated to group treatment no longer satisfied the diagnostic criteria for pathological gambling. These findings suggest that some caution should be employed when delivering cognitive-behavioural treatment in a group format until further research is conducted to establish its efficacy.","A comparison of individual and group cognitive-behavioural treatment for female pathological gambling","https://www.sciencedirect.com/science/article/pii/S0005796706002671","Behaviour Research and Therapy","Dowling, 2007","A - Western"
"17","Dowling, 2007","Dowling, 2007",0.851084311467346,0.348901302817836,"cbt","wl","Australia","H","grp","wl","msd","gambling","duration","duration",98,72,15,265,245,20,NA,NA,2007,12,"post","grp","grp","au",43.6,1,0,0,0,1,1,"Dowling, N., Smith, D., & Thomas, T. (2007). A comparison of individual and group cognitive-behavioural treatment for female pathological gambling. Behaviour Research and Therapy, 45(9), 2192-2202.","10.1016/j.brat.2006.11.003","The current study aimed to determine the differential efficacy of a cognitive-behavioural treatment program for female pathological gamblers delivered in individual and group format. Fifty-six female pathological gamblers with electronic gaming machine gambling problems were randomly assigned to the control (waiting list) group or one of the treatment groups (individual or group treatment). Treatment comprised a 12-session program including financial limit setting, alternative activity planning, cognitive correction, problem solving, communication training, relapse prevention, and imaginal desensitisation. Treatment outcome was evaluated with conceptually related measures within the areas of gambling behaviour and psychological functioning. While individual and group treatment formats generally produced comparable outcomes in terms of gambling behaviour and psychological functioning, group treatment failed to produce superior outcomes to the control group in relation to several measures of psychological functioning. Moreover, by the completion of the six-month follow-up, 92% of the gamblers allocated to individual treatment compared with 60% allocated to group treatment no longer satisfied the diagnostic criteria for pathological gambling. These findings suggest that some caution should be employed when delivering cognitive-behavioural treatment in a group format until further research is conducted to establish its efficacy.","A comparison of individual and group cognitive-behavioural treatment for female pathological gambling","https://www.sciencedirect.com/science/article/pii/S0005796706002671","Behaviour Research and Therapy","Dowling, 2007","A - Western"
"18","Ladouceur, 2001","Ladouceur, 2001",0.732873456582666,0.256374587968511,"cbt","wl","Canada","H",NA,NA,"msd","gambling","duration","duration",43,187,35,229,311,29,NA,NA,2001,12,"post","ind","ind","can",42,0.17,0,0,0,0,0,"Ladouceur, R., Sylvain, C., Boutin, C., Lachance, S., Doucet, C., Leblond, J., & Jacques, C. (2001). Cognitive treatment of pathological gambling. The Journal of Nervous and Mental Disease, 189(11), 774-780.","10.1097/00005053-200111000-00007","This study evaluated the efficacy of a cognitive treatment package for pathological gambling. Sixty-six gamblers, meeting DSM-IV criteria for pathological gambling, were randomly assigned to treatment or wait-list control conditions. Cognitive correction techniques were used first to target gamblers' erroneous perceptions about randomness and then to address issues of relapse prevention. The dependent measures used were the South Oaks Gambling Screen, the number of DSM-IV criteria for pathological gambling met by participants, as well as gamblers' perception of control, frequency of gambling, perceived self-efficacy, and desire to gamble. Posttest results indicated highly significant changes in the treatment group on all outcome measures, and analysis of data from 6- and 12-month follow-ups revealed maintenance of therapeutic gains. Recommendations for clinical interventions are discussed, focusing on the cognitive correction of erroneous perceptions toward the notion of randomness.","Cognitive treatment of pathological gambling","https://journals.lww.com/jonmd/Fulltext/2001/11000/Cognitive_Treatment_of_Pathological_Gambling.7.aspx","The Journal of Nervous and Mental Disease","Ladouceur, 2001","A - Western"
"19","Wong, 2015","Wong, 2015",0.141486239976643,0.350482973401764,"cbt","cau","China","UM",NA,NA,"msd","gambling","duration","duration",2.47,1.73,15,2.8,2.68,16,NA,NA,2015,10,"post","grp","grp","eas",NA,0,0,0,0,1,1,"Wong, D. F. K., Chung, C. L. P., Wu, J., Tang, J., & Lau, P. (2015). A preliminary study of an integrated and culturally attuned cognitive behavioral group treatment for Chinese problem gamblers in Hong Kong. Journal of Gambling Studies, 31(3), 1015-1027.","10.1007/s10899-014-9457-2","Chinese people may have a higher rate of gambling problems than other cultural groups. However, there are very few clinical outcome studies that have demonstrated the effectiveness of clinical interventions for helping Chinese gamblers. Cognitive behavioural therapy (CBT) has been found to be effective for helping problem gamblers to significantly reduce their gambling problems in western countries. Very few CBT clinical trials have been conducted with the Chinese populations, and the results were masked by methodological limitations. This preliminary study attempted to test the effectiveness of an integrated and culturally attuned CBT group treatment for Chinese problem gamblers in Hong Kong. This study adopted a randomized control design and 38 participants were allocated randomly to the experimental condition (n = 18) and control condition (n = 20). The experimental group received 10 weekly CBT group sessions and individual counseling services while control group only received the individual counseling services. Significant decreases in gambling severity and frequencies of gambling were found in the experimental group. The findings also showed that a change in gambling cognitions predicted the changes in gambling severity and gambling urge while a change in gambling severity was also linked to a change in depression. Preliminary evidence highlights the potential benefits of an integrated and culturally attuned CBT group treatment for Chinese problem gamblers in Hong Kong. However, a more vigorous research design with a larger sample is needed to provide solid evidence of the effectiveness of the model for Chinese problem gamblers.","A Preliminary Study of an Integrated and Culturally Attuned Cognitive Behavioral Group Treatment for Chinese Problem Gamblers in Hong Kong","https://link.springer.com/article/10.1007/s10899-014-9457-2","Journal of Gambling Studies","Wong, 2015","A - Western"
"20","Abbott, 2018","Abbott, 2018",0.0229321034828201,0.146018833171357,"cbt","cau","Australia","H","wb + telephone","cau","msd","gambling","frequency","frequency",3.1,4.04,87,3.2,4.59,100,NA,NA,2018,12,"post","ind","ind","au",39.2,0.53,1,1,1,1,4,"Abbott, M., Hodgins, D. C., Bellringer, M., Vandal, A. C., Palmer Du Preez, K., Landon, J., ... & Feigin, V. (2018). Brief telephone interventions for problem gambling: A randomized controlled trial. Addiction, 113(5), 883-895.","10.1111/add.14149","Background and aims: Problem gambling is a significant public health issue world-wide. There is substantial investment in publicly funded intervention services, but limited evaluation of effectiveness. This study investigated three brief telephone interventions to determine whether they were more effective than standard helpline treatment in helping people to reduce gambling. Design: Randomized clinical trial. Setting: National gambling helpline in New Zealand. Participants: A total of 462 adults with problem gambling. INTERVENTIONS AND COMPARATOR: (1) Single motivational interview (MI), (2) single motivational interview plus cognitive-behavioural self-help workbook (MI + W) and (3) single motivational interview plus workbook plus four booster follow-up telephone interviews (MI + W + B). Comparator was helpline standard care [treatment as usual (TAU)]. Blinded follow-up was at 3, 6 and 12 months. Measurements: Primary outcomes were days gambled, dollars lost per day and treatment goal success. Findings: There were no differences across treatment arms, although participants showed large reductions in gambling during the 12-month follow-up period [mean reduction of 5.5 days, confidence interval (CI) = 4.8, 6.2; NZ$38 lost ($32, $44; 80.6%), improved (77.2%, 84.0%)]. Subgroup analysis revealed improved days gambled and dollars lost for MI + W + B over MI or MI + W for a goal of reduction of gambling (versus quitting) and improvement in dollars lost by ethnicity, gambling severity and psychological distress (all P < 0.01). MI + W + B was associated with greater treatment goal success for higher gambling severity than TAU or MI at 12 months and also better for those with higher psychological distress and lower self-efficacy to MI (all P < 0.01). TAU and MI were found to be equivalent in terms of dollars lost. Conclusions: In treatment of problem gambling in New Zealand, brief telephone interventions are associated with changes in days gambling and dollars lost similar to more intensive interventions, suggesting that more treatment is not necessarily better than less. Some client subgroups, in particular those with greater problem severity and greater distress, achieve better outcomes when they receive more intensive treatment.","Brief telephone interventions for problem gambling: a randomized controlled trial","https://onlinelibrary.wiley.com/doi/full/10.1111/add.14149","Addiction","Abbott, 2018","A - Western"
"21","Abbott, 2018","Abbott, 2018",-0.0603237442429514,0.14162890578167,"cbt","cau","Australia","H","wb","cau","msd","gambling","frequency","frequency",3.5,5.3,98,3.2,4.59,100,NA,NA,2018,12,"post","ind","ind","au",39.2,0.53,1,1,1,1,4,"Abbott, M., Hodgins, D. C., Bellringer, M., Vandal, A. C., Palmer Du Preez, K., Landon, J., ... & Feigin, V. (2018). Brief telephone interventions for problem gambling: A randomized controlled trial. Addiction, 113(5), 883-895.","10.1111/add.14149","Background and aims: Problem gambling is a significant public health issue world-wide. There is substantial investment in publicly funded intervention services, but limited evaluation of effectiveness. This study investigated three brief telephone interventions to determine whether they were more effective than standard helpline treatment in helping people to reduce gambling. Design: Randomized clinical trial. Setting: National gambling helpline in New Zealand. Participants: A total of 462 adults with problem gambling. INTERVENTIONS AND COMPARATOR: (1) Single motivational interview (MI), (2) single motivational interview plus cognitive-behavioural self-help workbook (MI + W) and (3) single motivational interview plus workbook plus four booster follow-up telephone interviews (MI + W + B). Comparator was helpline standard care [treatment as usual (TAU)]. Blinded follow-up was at 3, 6 and 12 months. Measurements: Primary outcomes were days gambled, dollars lost per day and treatment goal success. Findings: There were no differences across treatment arms, although participants showed large reductions in gambling during the 12-month follow-up period [mean reduction of 5.5 days, confidence interval (CI) = 4.8, 6.2; NZ$38 lost ($32, $44; 80.6%), improved (77.2%, 84.0%)]. Subgroup analysis revealed improved days gambled and dollars lost for MI + W + B over MI or MI + W for a goal of reduction of gambling (versus quitting) and improvement in dollars lost by ethnicity, gambling severity and psychological distress (all P < 0.01). MI + W + B was associated with greater treatment goal success for higher gambling severity than TAU or MI at 12 months and also better for those with higher psychological distress and lower self-efficacy to MI (all P < 0.01). TAU and MI were found to be equivalent in terms of dollars lost. Conclusions: In treatment of problem gambling in New Zealand, brief telephone interventions are associated with changes in days gambling and dollars lost similar to more intensive interventions, suggesting that more treatment is not necessarily better than less. Some client subgroups, in particular those with greater problem severity and greater distress, achieve better outcomes when they receive more intensive treatment.","Brief telephone interventions for problem gambling: a randomized controlled trial","https://onlinelibrary.wiley.com/doi/full/10.1111/add.14149","Addiction","Abbott, 2018","A - Western"
"22","Boudreault, 2018","Boudreault, 2018",0.753874363099902,0.277857591033091,"cbt","wl","Canada","H",NA,NA,"msd","gambling","frequency","frequency",3.48,4.26,27,9.27,9.82,27,NA,NA,2018,11,"post","ind","ind","can",51.5,0.39,1,0,0,1,2,"Boudreault, C., Giroux, I., Jacques, C., Goulet, A., Simoneau, H., & Ladouceur, R. (2018). Efficacy of a self-help treatment for at-risk and pathological gamblers. Journal of Gambling Studies, 34(2), 561-580.","10.1007/s10899-017-9717-z","Available evidence suggests that self-help treatments may reduce problem gambling severity but inconsistencies of results across clinical trials leave the extent of their benefits unclear. Moreover, no self-help treatment has yet been validated within a French Canadian setting. The current study therefore assesses the efficacy of a French language self-help treatment including three motivational telephone interviews spread over an 11-week period and a cognitive-behavioral self-help workbook. At-risk and pathological gamblers were randomly assigned to the treatment group (n = 31) or the waiting list (n = 31). Relative to the waiting list, the treatment group showed a statistically significant reduction in the number of DSM-5 gambling disorder criteria met, gambling habits, and gambling consequences at Week 11. Perceived self-efficacy and life satisfaction also significantly improved after 11 weeks for the treatment group, but not for the waiting list group. At Week 11, 13% of participants had dropped out of the study. All significant changes reported for the treatment group were maintained throughout 1, 6 and 12-month follow-ups. Results support the efficacy of the self-help treatment to reduce problem gambling severity, gambling behaviour and to improve overall functioning among a sample of French Canadian problem gamblers over short, medium and long term. Findings from this study lend support to the appropriateness of self-help treatments for problem gamblers and help clarify inconsistencies found in the literature. The low dropout rate is discussed with respect to the advantages of the self-help format. Clinical and methodological implications of the results are put forth.","Efficacy of a Self-Help Treatment for At-Risk and Pathological Gamblers","https://link.springer.com/article/10.1007/s10899-017-9717-z","Journal of Gambling Studies","Boudreault, 2018","A - Western"
"23","Carlbring, 2010","Carlbring, 2010",0,0.565266863719195,"cbt","wl","Sweden","H",NA,NA,"msd","gambling","frequency","frequency",10,10.14,8,10,14.1,4,NA,NA,2010,12,"post","ind","ind","eu",40.5,0.16,1,1,0,1,3,"Carlbring, P., Jonsson, J., Josephson, H., & Forsberg, L. (2010). Motivational interviewing versus cognitive behavioral group therapy in the treatment of problem and pathological gambling: A randomized controlled trial. Cognitive Behaviour Therapy, 39(2), 92-103.","10.1080/16506070903190245","Pathological gambling is a widespread problem with major implications for society and the individual. There are effective treatments, but little is known about the relative effectiveness of different treatments. The aim of this study was to test the effectiveness of motivational interviewing, cognitive behavioral group therapy, and a no-treatment control (wait-list) in the treatment of pathological gambling. This was done in a randomized controlled trial at an outpatient dependency clinic at Karolinska Institute (Stockholm, Sweden). A total of 150 primarily self-recruited patients with current gambling problems or pathological gambling according to an NORC DSM-IV screen for gambling problems were randomized to four individual sessions of motivational interviewing (MI), eight sessions of cognitive behavioral group therapy (CBGT), or a no-treatment wait-list control. Gambling-related measures derived from timeline follow-back as well as general levels of anxiety and depression were administered at baseline, termination, and 6 and 12 months posttermination. Treatment showed superiority in some areas over the no-treatment control in the short term, including the primary outcome measure. No differences were found between MI and CBGT at any point in time. Instead, both MI and CBGT produced significant within-group decreases on most outcome measures up to the 12-month follow-up. Both forms of intervention are promising treatments, but there is room for improvement in terms of both outcome and compliance.","Motivational Interviewing Versus Cognitive Behavioral Group Therapy in the Treatment of Problem and Pathological Gambling: A Randomized Controlled Trial","https://www.tandfonline.com/doi/full/10.1080/16506070903190245","Cognitive Behaviour Therapy ","Carlbring, 2010","A - Western"
"24","Casey, 2017","Casey, 2017",0.693763906713955,0.257822200113952,"cbt","wl","Australia","H",NA,NA,"msd","gambling","frequency","frequency",1.58,1.38,24,2.91,2.12,44,NA,NA,2017,6,"post","ind","ind","au",44.5,0.58,1,0,0,0,1,"Casey, L. M., Oei, T. P., Raylu, N., Horrigan, K., Day, J., Ireland, M., & Clough, B. A. (2017). Internet-based delivery of cognitive behaviour therapy compared to monitoring, feedback and support for problem gambling: a randomised controlled trial. Journal of gambling studies, 33(3), 993-1010.","10.1007/s10899-016-9666-y","The aim of this study was to investigate the efficacy of an Internet-based cognitive behavioural therapy program (I-CBT) for the treatment of problem gambling, when compared to a waitlist control and an active comparison condition consisting of monitoring, feedback, and support (I-MFS). Participants (N = 174) were randomly allocated to the three conditions. Variables of interest were gambling outcome and related mental health measures. Participants in the active conditions (I-CBT and I-MFS) completed six online modules. Both I-CBT and I-MFS conditions resulted in significant treatment gains on gambling severity. However, I-CBT was also associated with reductions in a range of other gambling-related and mental health outcomes. Compared with I-MFS, I-CBT produced greater effects across seven outcomes measures, relating to gambling urges, cognitions, stress, and life satisfaction. I-CBT participants also rated the program as significantly more satisfactory. Treatment gains observed for both active conditions were found to be stable through to 12 month follow up. The results indicate that the benefits of I-CBT were more than simply the non-specific effects of engaging in online treatment or receiving motivation, feedback, and support. Online treatments for gambling may be a valuable tool in increasing help-seeking and treatment engagement in this population, and be integrated as part of stepped care approaches to treatment.","Internet-Based Delivery of Cognitive Behaviour Therapy Compared to Monitoring, Feedback and Support for Problem Gambling: A Randomised Controlled Trial","https://link.springer.com/article/10.1007/s10899-016-9666-y","Journal of Gambling Studies","Casey, 2017","A - Western"
"25","Cunningham, 2019","Cunningham, 2019",-0.0763760147349928,0.119980287963933,"cbt","wl","Canada","H",NA,NA,"msd","gambling","frequency","frequency",9.71,7.72,129,9.12,7.69,149,NA,NA,2019,6,"post","ind","ind","can",36.5,0.55,1,1,0,1,3,"Cunningham, J. A., Godinho, A., & Hodgins, D. C. (2019). Pilot randomized controlled trial of an online intervention for problem gamblers. Addictive Behaviors Reports, 9, 100175.","10.1016/j.abrep.2019.100175","Introduction
This pilot randomized controlled trial sought to evaluate whether an online intervention for problem gambling could lead to improved gambling outcomes compared to a no intervention control. Participants were recruited through a crowdsourcing platform.  Methods
Participants were recruited to complete an online survey about their gambling through the Mechanical Turk platform. Those who scored 5 or more on the Problem Gambling Severity Index and were thinking about quitting or reducing their gambling were invited to complete 6-week and 6-month follow-ups. Each potential participant who agreed was sent a unique password. Participants who used their password to log onto the study portal were randomized to either access an online intervention for gambling or to a no intervention control. Results
A total of 321 participants were recruited, of which 87% and 88% were followed-up at 6 weeks and 6 months, respectively. Outcome analyses revealed that, while there were reductions in gambling from baseline to follow-ups, there was no significant observable impact of the online gambling intervention, as compared to a no intervention control condition. Conclusions
While the current trial observed no impact of the intervention, replication is merited with a larger sample size, and with participants who are not recruited through a crowdsourcing platform.","Pilot randomized controlled trial of an online intervention for problem gamblers","https://www.sciencedirect.com/science/article/pii/S2352853219300252","Addictive Behaviors Reports","Cunningham, 2019","A - Western"
"26","Dowling, 2007","Dowling, 2007",1.26644385050317,0.389558736841667,"cbt","wl","Australia","H","ind","wl","msd","gambling","frequency","frequency",0.4,0.5,12,2,1.5,20,NA,NA,2007,12,"post","ind","ind","au",44,1,0,0,0,1,1,"Dowling, N., Smith, D., & Thomas, T. (2007). A comparison of individual and group cognitive-behavioural treatment for female pathological gambling. Behaviour Research and Therapy, 45(9), 2192-2202.","10.1016/j.brat.2006.11.003","The current study aimed to determine the differential efficacy of a cognitive-behavioural treatment program for female pathological gamblers delivered in individual and group format. Fifty-six female pathological gamblers with electronic gaming machine gambling problems were randomly assigned to the control (waiting list) group or one of the treatment groups (individual or group treatment). Treatment comprised a 12-session program including financial limit setting, alternative activity planning, cognitive correction, problem solving, communication training, relapse prevention, and imaginal desensitisation. Treatment outcome was evaluated with conceptually related measures within the areas of gambling behaviour and psychological functioning. While individual and group treatment formats generally produced comparable outcomes in terms of gambling behaviour and psychological functioning, group treatment failed to produce superior outcomes to the control group in relation to several measures of psychological functioning. Moreover, by the completion of the six-month follow-up, 92% of the gamblers allocated to individual treatment compared with 60% allocated to group treatment no longer satisfied the diagnostic criteria for pathological gambling. These findings suggest that some caution should be employed when delivering cognitive-behavioural treatment in a group format until further research is conducted to establish its efficacy.","A comparison of individual and group cognitive-behavioural treatment for female pathological gambling","https://www.sciencedirect.com/science/article/pii/S0005796706002671","Behaviour Research and Therapy","Dowling, 2007","A - Western"
