"","study",".id",".g",".g_se","condition_arm1","condition_arm2","country_origin","income","multi_arm1","multi_arm2","year","time_weeks","time","format","format_details","n_sessions_arm1","country","age_group","mean_age","percent_women","recruitment","diagnosis","target_group","rob","notes","full_ref","culture"
"11","Andersson, 2006","Andersson_2006_msd_PRCS_post_NA_self-report_cbt_wlc_NA_NA",0.541415457452693,0.254650237178408,"cbt","wlc","Sweden","H",NA,NA,2006,9,"post","Mixed/oth","gsh + grp",11,"Europe","adul",37.3,0.516,"com","sad","adul",0,NA,"Andersson, G., Carlbring, P., Holmstrom, A., Sparthan, E., Furmark, T., Nilsson-Ihrfelt, E., Buhrman, M., & Ekselius, L. (2006). Internet-based self-help with therapist feedback and in vivo group exposure for social phobia: a randomized controlled trial. J Consult Clin Psychol, 74(4), 677-686. https://doi.org/10.1037/0022-006x.74.4.677 ","A - Western"
"12","Andersson, 2006","Andersson_2006_msd_SIAS_post_NA_self-report_cbt_wlc_NA_NA",0.501288764041932,0.253991690394217,"cbt","wlc","Sweden","H",NA,NA,2006,9,"post","Mixed/oth","gsh + grp",11,"Europe","adul",37.3,0.516,"com","sad","adul",0,NA,"Andersson, G., Carlbring, P., Holmstrom, A., Sparthan, E., Furmark, T., Nilsson-Ihrfelt, E., Buhrman, M., & Ekselius, L. (2006). Internet-based self-help with therapist feedback and in vivo group exposure for social phobia: a randomized controlled trial. J Consult Clin Psychol, 74(4), 677-686. https://doi.org/10.1037/0022-006x.74.4.677 ","A - Western"
"13","Andersson, 2006","Andersson_2006_msd_LSAS-SR_post_NA_self-report_cbt_wlc_NA_NA",0.724206439163866,0.258261180425793,"cbt","wlc","Sweden","H",NA,NA,2006,9,"post","Mixed/oth","gsh + grp",11,"Europe","adul",37.3,0.516,"com","sad","adul",0,NA,"Andersson, G., Carlbring, P., Holmstrom, A., Sparthan, E., Furmark, T., Nilsson-Ihrfelt, E., Buhrman, M., & Ekselius, L. (2006). Internet-based self-help with therapist feedback and in vivo group exposure for social phobia: a randomized controlled trial. J Consult Clin Psychol, 74(4), 677-686. https://doi.org/10.1037/0022-006x.74.4.677 ","A - Western"
"14","Andersson, 2012","Andersson_2012_msd_BAI_post_NA_self-report_cbt_wlc_NA_NA",0.607311404998645,0.143243115010572,"cbt","wlc","Sweden","H",NA,NA,2012,9,"post","gsh","gsh",9,"Europe","adul",38.25,0.603,"com","sad","adul",0,NA,"Andersson, G., Carlbring, P., & Furmark, T. (2012). Therapist experience and knowledge acquisition in internet-delivered CBT for social anxiety disorder: a randomized controlled trial. PLoS One, 7(5), e37411. https://doi.org/10.1371/journal.pone.0037411 ","A - Western"
"15","Andersson, 2012","Andersson_2012_msd_SPSQ_post_NA_self-report_cbt_wlc_NA_NA",0.776796945275809,0.145251008072898,"cbt","wlc","Sweden","H",NA,NA,2012,9,"post","gsh","gsh",9,"Europe","adul",38.25,0.603,"com","sad","adul",0,NA,"Andersson, G., Carlbring, P., & Furmark, T. (2012). Therapist experience and knowledge acquisition in internet-delivered CBT for social anxiety disorder: a randomized controlled trial. PLoS One, 7(5), e37411. https://doi.org/10.1371/journal.pone.0037411 ","A - Western"
"16","Andersson, 2012","Andersson_2012_msd_SPS_post_NA_self-report_cbt_wlc_NA_NA",0.656810299447637,0.143781434560214,"cbt","wlc","Sweden","H",NA,NA,2012,9,"post","gsh","gsh",9,"Europe","adul",38.25,0.603,"com","sad","adul",0,NA,"Andersson, G., Carlbring, P., & Furmark, T. (2012). Therapist experience and knowledge acquisition in internet-delivered CBT for social anxiety disorder: a randomized controlled trial. PLoS One, 7(5), e37411. https://doi.org/10.1371/journal.pone.0037411 ","A - Western"
"17","Andersson, 2012","Andersson_2012_msd_SIAS_post_NA_self-report_cbt_wlc_NA_NA",0.813433903911313,0.145745394770462,"cbt","wlc","Sweden","H",NA,NA,2012,9,"post","gsh","gsh",9,"Europe","adul",38.25,0.603,"com","sad","adul",0,NA,"Andersson, G., Carlbring, P., & Furmark, T. (2012). Therapist experience and knowledge acquisition in internet-delivered CBT for social anxiety disorder: a randomized controlled trial. PLoS One, 7(5), e37411. https://doi.org/10.1371/journal.pone.0037411 ","A - Western"
"18","Andersson, 2012","Andersson_2012_msd_LSAS-SR_post_NA_self-report_cbt_wlc_NA_NA",0.834379943586394,0.146037490403766,"cbt","wlc","Sweden","H",NA,NA,2012,9,"post","gsh","gsh",9,"Europe","adul",38.25,0.603,"com","sad","adul",0,NA,"Andersson, G., Carlbring, P., & Furmark, T. (2012). Therapist experience and knowledge acquisition in internet-delivered CBT for social anxiety disorder: a randomized controlled trial. PLoS One, 7(5), e37411. https://doi.org/10.1371/journal.pone.0037411 ","A - Western"
"19","Beidel, 2014","Beidel_2014_msd_HAMA_post_NA_cr_Exposure_wlc_Exposure+SST_wlc",1.58967072999599,0.307054911373623,"Exposure","wlc","USA","H","Exposure + SST","wlc",2014,12,"post","Mixed/oth","ind + grp",24,"North America","adul",36.414,0.5189,"oth","sad","adul",0,NA,"Beidel, D. C., Alfano, C. A., Kofler, M. J., Rao, P. A., Scharfstein, L., & Wong Sarver, N. (2014). The impact of social skills training for social anxiety disorder: a randomized controlled trial. J Anxiety Disord, 28(8), 908-918. https://doi.org/10.1016/j.janxdis.2014.09.016 ","A - Western"
"20","Beidel, 2014","Beidel_2014_msd_HAMA_post_NA_cr_Exposure_wlc_Exposure_wlc",1.1135520178403,0.296021720041756,"Exposure","wlc","USA","H","Exposure","wlc",2014,12,"post","ind","ind",24,"North America","adul",36.414,0.5189,"oth","sad","adul",0,NA,"Beidel, D. C., Alfano, C. A., Kofler, M. J., Rao, P. A., Scharfstein, L., & Wong Sarver, N. (2014). The impact of social skills training for social anxiety disorder: a randomized controlled trial. J Anxiety Disord, 28(8), 908-918. https://doi.org/10.1016/j.janxdis.2014.09.016 ","A - Western"
"21","Beidel, 2014","Beidel_2014_msd_BSPS_post_NA_cr_Exposure_wlc_Exposure+SST_wlc",1.89860962065118,0.320584191846328,"Exposure","wlc","USA","H","Exposure + SST","wlc",2014,12,"post","Mixed/oth","ind + grp",24,"North America","adul",36.414,0.5189,"oth","sad","adul",0,NA,"Beidel, D. C., Alfano, C. A., Kofler, M. J., Rao, P. A., Scharfstein, L., & Wong Sarver, N. (2014). The impact of social skills training for social anxiety disorder: a randomized controlled trial. J Anxiety Disord, 28(8), 908-918. https://doi.org/10.1016/j.janxdis.2014.09.016 ","A - Western"
"22","Beidel, 2014","Beidel_2014_msd_BSPS_post_NA_cr_Exposure_wlc_Exposure_wlc",1.27642900061022,0.301593647203787,"Exposure","wlc","USA","H","Exposure","wlc",2014,12,"post","ind","ind",24,"North America","adul",36.414,0.5189,"oth","sad","adul",0,NA,"Beidel, D. C., Alfano, C. A., Kofler, M. J., Rao, P. A., Scharfstein, L., & Wong Sarver, N. (2014). The impact of social skills training for social anxiety disorder: a randomized controlled trial. J Anxiety Disord, 28(8), 908-918. https://doi.org/10.1016/j.janxdis.2014.09.016 ","A - Western"
"23","Beidel, 2014","Beidel_2014_msd_SPAI_post_NA_self-report_Exposure_wlc_Exposure+SST_wlc",1.24665647093458,0.294307171539947,"Exposure","wlc","USA","H","Exposure + SST","wlc",2014,12,"post","Mixed/oth","ind + grp",24,"North America","adul",36.414,0.5189,"oth","sad","adul",0,NA,"Beidel, D. C., Alfano, C. A., Kofler, M. J., Rao, P. A., Scharfstein, L., & Wong Sarver, N. (2014). The impact of social skills training for social anxiety disorder: a randomized controlled trial. J Anxiety Disord, 28(8), 908-918. https://doi.org/10.1016/j.janxdis.2014.09.016 ","A - Western"
"24","Beidel, 2014","Beidel_2014_msd_SPAI_post_NA_self-report_Exposure_wlc_Exposure_wlc",0.981366048167044,0.291993278935578,"Exposure","wlc","USA","H","Exposure","wlc",2014,12,"post","ind","ind",24,"North America","adul",36.414,0.5189,"oth","sad","adul",0,NA,"Beidel, D. C., Alfano, C. A., Kofler, M. J., Rao, P. A., Scharfstein, L., & Wong Sarver, N. (2014). The impact of social skills training for social anxiety disorder: a randomized controlled trial. J Anxiety Disord, 28(8), 908-918. https://doi.org/10.1016/j.janxdis.2014.09.016 ","A - Western"
"25","Berger, 2009","Berger_2009_msd_SPS_post_NA_self-report_cbt_wlc_NA_NA",0.54467320654347,0.28778062838863,"cbt","wlc","Switzerland","H",NA,NA,2009,10,"post","gsh","gsh",5,"Europe","adul",28.9,0.558,"com","sad","adul",0,NA,"Berger, T., Hohl, E., & Caspar, F. (2009). Internet-based treatment for social phobia: a randomized controlled trial. J Clin Psychol, 65(10), 1021-1035. https://doi.org/10.1002/jclp.20603 ","A - Western"
"26","Berger, 2009","Berger_2009_msd_SIAS_post_NA_self-report_cbt_wlc_NA_NA",0.822182675357196,0.294240478900956,"cbt","wlc","Switzerland","H",NA,NA,2009,10,"post","gsh","gsh",5,"Europe","adul",28.9,0.558,"com","sad","adul",0,NA,"Berger, T., Hohl, E., & Caspar, F. (2009). Internet-based treatment for social phobia: a randomized controlled trial. J Clin Psychol, 65(10), 1021-1035. https://doi.org/10.1002/jclp.20603 ","A - Western"
"27","Berger, 2009","Berger_2009_msd_LSAS-SR_post_NA_self-report_cbt_wlc_NA_NA",0.879747286322846,0.295886035410225,"cbt","wlc","Switzerland","H",NA,NA,2009,10,"post","gsh","gsh",5,"Europe","adul",28.9,0.558,"com","sad","adul",0,NA,"Berger, T., Hohl, E., & Caspar, F. (2009). Internet-based treatment for social phobia: a randomized controlled trial. J Clin Psychol, 65(10), 1021-1035. https://doi.org/10.1002/jclp.20603 ","A - Western"
"28","Blanco, 2010","Blanco_2010_msd_ADIS_post_NA_cr_cbt_otherctr_NA_NA",0,0.257776650887778,"cbt","other ctr","USA","H",NA,NA,2010,12,"post","grp","grp",12,"North America","adul",31.85,0.459,"com","sad","adul",0,NA,"Blanco, C., Heimberg, R. G., Schneier, F. R., Fresco, D. M., Chen, H., Turk, C. L., Vermes, D., Erwin, B. A., Schmidt, A. B., Juster, H. R., Campeas, R., & Liebowitz, M. R. (2010). A placebo-controlled trial of phenelzine, cognitive behavioral group therapy, and their combination for social anxiety disorder. Arch Gen Psychiatry, 67(3), 286-295. https://doi.org/10.1001/archgenpsychiatry.2010.11 ","A - Western"
"29","Blanco, 2010","Blanco_2010_msd_FQ_post_NA_self-report_cbt_otherctr_NA_NA",0.419445862111201,0.260630825224381,"cbt","other ctr","USA","H",NA,NA,2010,12,"post","grp","grp",12,"North America","adul",31.85,0.459,"com","sad","adul",0,NA,"Blanco, C., Heimberg, R. G., Schneier, F. R., Fresco, D. M., Chen, H., Turk, C. L., Vermes, D., Erwin, B. A., Schmidt, A. B., Juster, H. R., Campeas, R., & Liebowitz, M. R. (2010). A placebo-controlled trial of phenelzine, cognitive behavioral group therapy, and their combination for social anxiety disorder. Arch Gen Psychiatry, 67(3), 286-295. https://doi.org/10.1001/archgenpsychiatry.2010.11 ","A - Western"
"30","Blanco, 2010","Blanco_2010_msd_SPS_post_NA_self-report_cbt_otherctr_NA_NA",0.554753485482687,0.262748957518709,"cbt","other ctr","USA","H",NA,NA,2010,12,"post","grp","grp",12,"North America","adul",31.85,0.459,"com","sad","adul",0,NA,"Blanco, C., Heimberg, R. G., Schneier, F. R., Fresco, D. M., Chen, H., Turk, C. L., Vermes, D., Erwin, B. A., Schmidt, A. B., Juster, H. R., Campeas, R., & Liebowitz, M. R. (2010). A placebo-controlled trial of phenelzine, cognitive behavioral group therapy, and their combination for social anxiety disorder. Arch Gen Psychiatry, 67(3), 286-295. https://doi.org/10.1001/archgenpsychiatry.2010.11 ","A - Western"
"31","Blanco, 2010","Blanco_2010_msd_SIAS_post_NA_self-report_cbt_otherctr_NA_NA",0.299018836628955,0.259231104789432,"cbt","other ctr","USA","H",NA,NA,2010,12,"post","grp","grp",12,"North America","adul",31.85,0.459,"com","sad","adul",0,NA,"Blanco, C., Heimberg, R. G., Schneier, F. R., Fresco, D. M., Chen, H., Turk, C. L., Vermes, D., Erwin, B. A., Schmidt, A. B., Juster, H. R., Campeas, R., & Liebowitz, M. R. (2010). A placebo-controlled trial of phenelzine, cognitive behavioral group therapy, and their combination for social anxiety disorder. Arch Gen Psychiatry, 67(3), 286-295. https://doi.org/10.1001/archgenpsychiatry.2010.11 ","A - Western"
"32","Blanco, 2010","Blanco_2010_msd_LSAS_post_NA_cr_cbt_otherctr_NA_NA",0.0220073584965254,0.257784551405152,"cbt","other ctr","USA","H",NA,NA,2010,12,"post","grp","grp",12,"North America","adul",31.85,0.459,"com","sad","adul",0,NA,"Blanco, C., Heimberg, R. G., Schneier, F. R., Fresco, D. M., Chen, H., Turk, C. L., Vermes, D., Erwin, B. A., Schmidt, A. B., Juster, H. R., Campeas, R., & Liebowitz, M. R. (2010). A placebo-controlled trial of phenelzine, cognitive behavioral group therapy, and their combination for social anxiety disorder. Arch Gen Psychiatry, 67(3), 286-295. https://doi.org/10.1001/archgenpsychiatry.2010.11 ","A - Western"
"33","Botella, 2010","Botella_2010_msd_Avoidance(TB)_post_NA_self-report_cbt_wlc_cbt(ind)_wlc",1.83675210375035,0.350112092225251,"cbt","wlc","Spain","H","cbt (ind)","wlc",2012,8.6667,"post","ind","ind",NA,"Europe","yadul",24.4,0.792,"com","sad","adul",0,NA,"Botella, C., Gallego, M. J., Garcia-Palacios, A., Guillen, V., Baños, R. M., Quero, S., & Alcañiz, M. (2010). An Internet-based self-help treatment for fear of public speaking: a controlled trial. Cyberpsychol Behav Soc Netw, 13(4), 407-421. https://doi.org/10.1089/cyber.2009.0224 ","A - Western"
"34","Botella, 2010","Botella_2010_msd_AnxietyP_post_NA_self-report_cbt_wlc_cbt(ind)_wlc",1.22117157135318,0.319162117323322,"cbt","wlc","Spain","H","cbt (ind)","wlc",2010,8.6667,"post","ind","ind",NA,"Europe","yadul",24.4,0.792,"com","sad","adul",0,NA,"Botella, C., Gallego, M. J., Garcia-Palacios, A., Guillen, V., Baños, R. M., Quero, S., & Alcañiz, M. (2010). An Internet-based self-help treatment for fear of public speaking: a controlled trial. Cyberpsychol Behav Soc Netw, 13(4), 407-421. https://doi.org/10.1089/cyber.2009.0224 ","A - Western"
"35","Botella, 2010","Botella_2010_msd_AnxietyT_post_NA_cr_cbt_wlc_cbt(ind)_wlc",1.24932782832483,0.320359016710417,"cbt","wlc","Spain","H","cbt (ind)","wlc",2011,8.6667,"post","ind","ind",NA,"Europe","yadul",24.4,0.792,"com","sad","adul",0,NA,"Botella, C., Gallego, M. J., Garcia-Palacios, A., Guillen, V., Baños, R. M., Quero, S., & Alcañiz, M. (2010). An Internet-based self-help treatment for fear of public speaking: a controlled trial. Cyberpsychol Behav Soc Netw, 13(4), 407-421. https://doi.org/10.1089/cyber.2009.0224 ","A - Western"
"36","Botella, 2010","Botella_2010_msd_Fear(TB)_post_NA_self-report_cbt_wlc_cbt(ind)_wlc",1.91865550600922,0.354912823889108,"cbt","wlc","Spain","H","cbt (ind)","wlc",2014,8.6667,"post","ind","ind",NA,"Europe","yadul",24.4,0.792,"com","sad","adul",0,NA,"Botella, C., Gallego, M. J., Garcia-Palacios, A., Guillen, V., Baños, R. M., Quero, S., & Alcañiz, M. (2010). An Internet-based self-help treatment for fear of public speaking: a controlled trial. Cyberpsychol Behav Soc Netw, 13(4), 407-421. https://doi.org/10.1089/cyber.2009.0224 ","A - Western"
"37","Botella, 2010","Botella_2010_msd_SADS_post_NA_self-report_cbt_wlc_cbt(ind)_wlc",0.454010511654868,0.296180287854784,"cbt","wlc","Spain","H","cbt (ind)","wlc",2016,8.6667,"post","ind","ind",NA,"Europe","yadul",24.4,0.792,"com","sad","adul",0,NA,"Botella, C., Gallego, M. J., Garcia-Palacios, A., Guillen, V., Baños, R. M., Quero, S., & Alcañiz, M. (2010). An Internet-based self-help treatment for fear of public speaking: a controlled trial. Cyberpsychol Behav Soc Netw, 13(4), 407-421. https://doi.org/10.1089/cyber.2009.0224 ","A - Western"
"38","Botella, 2010","Botella_2010_msd_FPSQ_post_NA_self-report_cbt_wlc_cbt(ind)_wlc",1.28498973283122,0.321907488026954,"cbt","wlc","Spain","H","cbt (ind)","wlc",2015,8.6667,"post","ind","ind",NA,"Europe","yadul",24.4,0.792,"com","sad","adul",0,NA,"Botella, C., Gallego, M. J., Garcia-Palacios, A., Guillen, V., Baños, R. M., Quero, S., & Alcañiz, M. (2010). An Internet-based self-help treatment for fear of public speaking: a controlled trial. Cyberpsychol Behav Soc Netw, 13(4), 407-421. https://doi.org/10.1089/cyber.2009.0224 ","A - Western"
"39","Botella, 2010","Botella_2010_msd_FNE-B_post_NA_self-report_cbt_wlc_cbt(ind)_wlc",0.509747922229888,0.297176500242458,"cbt","wlc","Spain","H","cbt (ind)","wlc",2013,8.6667,"post","ind","ind",NA,"Europe","yadul",24.4,0.792,"com","sad","adul",0,NA,"Botella, C., Gallego, M. J., Garcia-Palacios, A., Guillen, V., Baños, R. M., Quero, S., & Alcañiz, M. (2010). An Internet-based self-help treatment for fear of public speaking: a controlled trial. Cyberpsychol Behav Soc Netw, 13(4), 407-421. https://doi.org/10.1089/cyber.2009.0224 ","A - Western"
"40","Bouchard, 2017","Bouchard_2017_msd_FNE_post_NA_self-report_cbt_wlc_cbt(VR)_wlc",1.04700894203357,0.352559469860403,"cbt","wlc","Canada","H","cbt (VR)","wlc",2017,14,"post","Mixed/oth","ind+VR",14,"North America","adul",34.5,0.729,"com","sad","adul",0,NA,"Bouchard, S., Dumoulin, S., Robillard, G., Guitard, T., Klinger, E., Forget, H., Loranger, C., & Roucaut, F. X. (2017). Virtual reality compared with in vivo exposure in the treatment of social anxiety disorder: a three-arm randomised controlled trial. Br J Psychiatry, 210(4), 276-283. https://doi.org/10.1192/bjp.bp.116.184234 ","A - Western"
"41","Bouchard, 2017","Bouchard_2017_msd_FNE_post_NA_self-report_cbt_wlc_cbt(invivo)_wlc",1.01844870474071,0.329062465780374,"cbt","wlc","Canada","H","cbt (in vivo)","wlc",2017,14,"post","ind","ind",14,"North America","adul",34.5,0.729,"com","sad","adul",0,NA,"Bouchard, S., Dumoulin, S., Robillard, G., Guitard, T., Klinger, E., Forget, H., Loranger, C., & Roucaut, F. X. (2017). Virtual reality compared with in vivo exposure in the treatment of social anxiety disorder: a three-arm randomised controlled trial. Br J Psychiatry, 210(4), 276-283. https://doi.org/10.1192/bjp.bp.116.184234 ","A - Western"
"42","Bouchard, 2017","Bouchard_2017_msd_SPS_post_NA_self-report_cbt_wlc_cbt(VR)_wlc",1.40897205760484,0.369928624801604,"cbt","wlc","Canada","H","cbt (VR)","wlc",2017,14,"post","Mixed/oth","ind+VR",14,"North America","adul",34.5,0.729,"com","sad","adul",0,NA,"Bouchard, S., Dumoulin, S., Robillard, G., Guitard, T., Klinger, E., Forget, H., Loranger, C., & Roucaut, F. X. (2017). Virtual reality compared with in vivo exposure in the treatment of social anxiety disorder: a three-arm randomised controlled trial. Br J Psychiatry, 210(4), 276-283. https://doi.org/10.1192/bjp.bp.116.184234 ","A - Western"
"43","Bouchard, 2017","Bouchard_2017_msd_SPS_post_NA_self-report_cbt_wlc_cbt(invivo)_wlc",1.06592567176517,0.330916826203104,"cbt","wlc","Canada","H","cbt (in vivo)","wlc",2017,14,"post","ind","ind",14,"North America","adul",34.5,0.729,"com","sad","adul",0,NA,"Bouchard, S., Dumoulin, S., Robillard, G., Guitard, T., Klinger, E., Forget, H., Loranger, C., & Roucaut, F. X. (2017). Virtual reality compared with in vivo exposure in the treatment of social anxiety disorder: a three-arm randomised controlled trial. Br J Psychiatry, 210(4), 276-283. https://doi.org/10.1192/bjp.bp.116.184234 ","A - Western"
"44","Bouchard, 2017","Bouchard_2017_msd_SIAS_post_NA_self-report_cbt_wlc_cbt(VR)_wlc",1.60990361618454,0.381326554287899,"cbt","wlc","Canada","H","cbt (VR)","wlc",2017,14,"post","Mixed/oth","ind+VR",14,"North America","adul",34.5,0.729,"com","sad","adul",0,NA,"Bouchard, S., Dumoulin, S., Robillard, G., Guitard, T., Klinger, E., Forget, H., Loranger, C., & Roucaut, F. X. (2017). Virtual reality compared with in vivo exposure in the treatment of social anxiety disorder: a three-arm randomised controlled trial. Br J Psychiatry, 210(4), 276-283. https://doi.org/10.1192/bjp.bp.116.184234 ","A - Western"
"45","Bouchard, 2017","Bouchard_2017_msd_SIAS_post_NA_self-report_cbt_wlc_cbt(invivo)_wlc",0.965162204719442,0.327070197632672,"cbt","wlc","Canada","H","cbt (in vivo)","wlc",2017,14,"post","ind","ind",14,"North America","adul",34.5,0.729,"com","sad","adul",0,NA,"Bouchard, S., Dumoulin, S., Robillard, G., Guitard, T., Klinger, E., Forget, H., Loranger, C., & Roucaut, F. X. (2017). Virtual reality compared with in vivo exposure in the treatment of social anxiety disorder: a three-arm randomised controlled trial. Br J Psychiatry, 210(4), 276-283. https://doi.org/10.1192/bjp.bp.116.184234 ","A - Western"
"46","Bouchard, 2017","Bouchard_2017_msd_LSAS-SR_post_NA_self-report_cbt_wlc_cbt(VR)_wlc",1.19036422028559,0.358923143296666,"cbt","wlc","Canada","H","cbt (VR)","wlc",2017,14,"post","Mixed/oth","ind+VR",14,"North America","adul",34.5,0.729,"com","sad","adul",0,NA,"Bouchard, S., Dumoulin, S., Robillard, G., Guitard, T., Klinger, E., Forget, H., Loranger, C., & Roucaut, F. X. (2017). Virtual reality compared with in vivo exposure in the treatment of social anxiety disorder: a three-arm randomised controlled trial. Br J Psychiatry, 210(4), 276-283. https://doi.org/10.1192/bjp.bp.116.184234 ","A - Western"
