"","study",".id",".g",".g_se","condition_arm1","condition_arm2","country_origin","income","contr_MA.","psy","ctr","multiple_arms_ig","multiple_arms_cg","descr_ig","descr_cg","comparison","outcome_type","sample","outc_type","outc_measure","sr_clinician","time","time_weeks","post_m_ig","post_sd_ig","post_n_ig","post_m_cg","post_sd_cg","post_n_cg","baseline_m_ig","baseline_sd_ig","baseline_n_ig","baseline_m_cg","baseline_sd_cg","baseline_n_cg","dich","dich_type","improved_n_ig","improved_n_cg","rand_n_ig","rand_n_cg","dropout_n_ig","dropout_n_cg","change_m_ig_new","change_m_cg_new","change_sd_ig","change_sd_cg","change_n_ig","change_n_cg","other_statistic","year","comorbid_mental","format","format_details","n_sessions_ig","country","age_group","mean_age","percent_women","recruitment","diagnosis","target_group","d1","d2","d3","d4","d5","ROB","itt","no.arms","is.multiarm","totaln_arm2","totaln_arm1","event_arm2","event_arm1","n_arm2","n_arm1","sd_arm2","sd_arm1","mean_arm2","mean_arm1","multi_arm2","multi_arm1","rob",".log_rr",".log_rr_se",".event_arm1",".event_arm2",".totaln_arm1",".totaln_arm2","full_ref",".id.1","culture"
"11","Barlow, 1992","Barlow_1992_msd_15_cr_cbt_wl_ct_wl",1.91831828715114,0.512868687974577,"cbt","wl","USA","H",1,"cbt","wl","ct","wl",NA,NA,"PSYvsCTR","msd","co","gen anx","HAMA","cr","post",15,11.3,"5.0","13.0",21.6,"5.4","10.0",18.2,"4.8","13.0",16.9,"3.8","10.0",NA,NA,NA,NA,"17.0","20.0","4.0","10.0",NA,NA,NA,NA,NA,NA,NA,1992,"n","ind","ind",15,"us","adul",40,43.75,"clin","gad","adul","some concerns","high risk","high risk","high risk","some concerns","high risk",0,4,1,20,17,NA,NA,10,13,5.4,5,21.6,11.3,"wl","ct",0,NA,NA,NA,NA,NA,NA,"Barlow, D. H., Rapee, R. M., & Brown, T. A. (1992). Behavioral treatment of generalized anxiety disorder. Behavior Therapy, 23(4), 551-570. doi:https://doi.org/10.1016/S0005-7894(05)80221-7","Barlow_1992_msd_15_cr_cbt_wl_ct_wl","A - Western"
"12","Barlow, 1992","Barlow_1992_msd_15_cr_ar_wl_ar_wl",1.63235114997249,0.522131823631822,"ar","wl","USA","H",1,"ar","wl","ar","wl",NA,NA,"PSYvsCTR","msd","co","gen anx","HAMA","cr","post",15,11.6,"6.3","10.0",21.6,"5.4","10.0",20.2,"3.2","10.0",16.9,"3.8","10.0",NA,NA,NA,NA,"16.0","20.0","6.0","10.0",NA,NA,NA,NA,NA,NA,NA,1992,"n","ind","ind",15,"us","adul",40,43.75,"clin","gad","adul","some concerns","high risk","high risk","high risk","some concerns","high risk",0,4,1,20,16,NA,NA,10,10,5.4,6.3,21.6,11.6,"wl","ar",0,NA,NA,NA,NA,NA,NA,"Barlow, D. H., Rapee, R. M., & Brown, T. A. (1992). Behavioral treatment of generalized anxiety disorder. Behavior Therapy, 23(4), 551-570. doi:https://doi.org/10.1016/S0005-7894(05)80221-7","Barlow_1992_msd_15_cr_ar_wl_ar_wl","A - Western"
"13","Barlow, 1992","Barlow_1992_msd_15_cr_otherpsy_wl_otherpsy_wl",1.40149571051439,0.491583074801907,"other psy","wl","USA","H",1,"other psy","wl","other psy","wl","ct+ar (this should be considered cbt as well)",NA,"PSYvsCTR","msd","co","gen anx","HAMA","cr","post",15,13,"6.3","11.0",21.6,"5.4","10.0",21,"7.9","11.0",16.9,"3.8","10.0",NA,NA,NA,NA,"12.0","20.0","1.0","10.0",NA,NA,NA,NA,NA,NA,NA,1992,"n","ind","ind",15,"us","adul",40,43.75,"clin","gad","adul","some concerns","high risk","high risk","high risk","some concerns","high risk",0,4,1,20,12,NA,NA,10,11,5.4,6.3,21.6,13,"wl","other psy",0,NA,NA,NA,NA,NA,NA,"Barlow, D. H., Rapee, R. M., & Brown, T. A. (1992). Behavioral treatment of generalized anxiety disorder. Behavior Therapy, 23(4), 551-570. doi:https://doi.org/10.1016/S0005-7894(05)80221-7","Barlow_1992_msd_15_cr_otherpsy_wl_otherpsy_wl","A - Western"
"14","Barlow, 1992","Barlow_1992_msd_15_cr_ct_wl_ct_wl",1.70337016113023,0.494790730451699,"ct","wl","USA","H",1,"ct","wl","ct","wl",NA,NA,"PSYvsCTR","msd","co","global clin","ADIS-R","cr","post",15,2.7,"1.4","13.0",5.1,"1.3","10.0",5.4,"0.9","13.0",5.3,"1.0","10.0",NA,NA,NA,NA,"17.0","20.0","4.0","10.0",NA,NA,NA,NA,NA,NA,NA,1992,"n","ind","ind",15,"us","adul",40,43.75,"clin","gad","adul","some concerns","high risk","high risk","high risk","some concerns","high risk",0,4,1,20,17,NA,NA,10,13,1.3,1.4,5.1,2.7,"wl","ct",0,NA,NA,NA,NA,NA,NA,"Barlow, D. H., Rapee, R. M., & Brown, T. A. (1992). Behavioral treatment of generalized anxiety disorder. Behavior Therapy, 23(4), 551-570. doi:https://doi.org/10.1016/S0005-7894(05)80221-7","Barlow_1992_msd_15_cr_ct_wl_ct_wl","A - Western"
"15","Barlow, 1992","Barlow_1992_msd_15_cr_ar_wl_ar_wl",-0.0657008664207925,0.447345109572938,"ar","wl","USA","H",1,"ar","wl","ar","wl",NA,NA,"PSYvsCTR","msd","co","global clin","ADIS-R","cr","post",15,5.2,"1.6","10.0",5.1,"1.3","10.0",5.5,"1.0","10.0",5.3,"1.0","10.0",NA,NA,NA,NA,"16.0","20.0","6.0","10.0",NA,NA,NA,NA,NA,NA,NA,1992,"n","ind","ind",15,"us","adul",40,43.75,"clin","gad","adul","some concerns","high risk","high risk","high risk","some concerns","high risk",0,4,1,20,16,NA,NA,10,10,1.3,1.6,5.1,5.2,"wl","ar",0,NA,NA,NA,NA,NA,NA,"Barlow, D. H., Rapee, R. M., & Brown, T. A. (1992). Behavioral treatment of generalized anxiety disorder. Behavior Therapy, 23(4), 551-570. doi:https://doi.org/10.1016/S0005-7894(05)80221-7","Barlow_1992_msd_15_cr_ar_wl_ar_wl","A - Western"
"16","Barlow, 1992","Barlow_1992_msd_15_cr_otherpsy_wl_otherpsy_wl",1.19710737284399,0.47742259442552,"other psy","wl","USA","H",1,"other psy","wl","other psy","wl","ct+ar (this should be considered cbt as well)",NA,"PSYvsCTR","msd","co","global clin","ADIS-R","cr","post",15,3.2,"1.7","11.0",5.1,"1.3","10.0",5.8,"0.8","11.0",5.3,"1.0","10.0",NA,NA,NA,NA,"12.0","20.0","1.0","10.0",NA,NA,NA,NA,NA,NA,NA,1992,"n","ind","ind",15,"us","adul",40,43.75,"clin","gad","adul","some concerns","high risk","high risk","high risk","some concerns","high risk",0,4,1,20,12,NA,NA,10,11,1.3,1.7,5.1,3.2,"wl","other psy",0,NA,NA,NA,NA,NA,NA,"Barlow, D. H., Rapee, R. M., & Brown, T. A. (1992). Behavioral treatment of generalized anxiety disorder. Behavior Therapy, 23(4), 551-570. doi:https://doi.org/10.1016/S0005-7894(05)80221-7","Barlow_1992_msd_15_cr_otherpsy_wl_otherpsy_wl","A - Western"
"17","Barlow, 1992","Barlow_1992_msd_15_cr_ct_wl_ct_wl",0.675651776442955,0.433134348103106,"ct","wl","USA","H",1,"ct","wl","ct","wl",NA,NA,"PSYvsCTR","msd","co","worry","% day worrying","cr","post",15,31.8,"25.8","13.0",51.3,"30.3","10.0",66.2,"23.0","13.0",49.4,"31.2","10.0",NA,NA,NA,NA,"17.0","20.0","4.0","10.0",NA,NA,NA,NA,NA,NA,NA,1992,"n","ind","ind",15,"us","adul",40,43.75,"clin","gad","adul","some concerns","high risk","high risk","high risk","some concerns","high risk",0,4,1,20,17,NA,NA,10,13,30.3,25.8,51.3,31.8,"wl","ct",0,NA,NA,NA,NA,NA,NA,"Barlow, D. H., Rapee, R. M., & Brown, T. A. (1992). Behavioral treatment of generalized anxiety disorder. Behavior Therapy, 23(4), 551-570. doi:https://doi.org/10.1016/S0005-7894(05)80221-7","Barlow_1992_msd_15_cr_ct_wl_ct_wl","A - Western"
"18","Barlow, 1992","Barlow_1992_msd_15_cr_ar_wl_ar_wl",0.90925050090755,0.471733318245018,"ar","wl","USA","H",1,"ar","wl","ar","wl",NA,NA,"PSYvsCTR","msd","co","worry","% day worrying","cr","post",15,25.6,"23.4","10.0",51.3,"30.3","10.0",58.3,"20.9","10.0",49.4,"31.2","10.0",NA,NA,NA,NA,"16.0","20.0","6.0","10.0",NA,NA,NA,NA,NA,NA,NA,1992,"n","ind","ind",15,"us","adul",40,43.75,"clin","gad","adul","some concerns","high risk","high risk","high risk","some concerns","high risk",0,4,1,20,16,NA,NA,10,10,30.3,23.4,51.3,25.6,"wl","ar",0,NA,NA,NA,NA,NA,NA,"Barlow, D. H., Rapee, R. M., & Brown, T. A. (1992). Behavioral treatment of generalized anxiety disorder. Behavior Therapy, 23(4), 551-570. doi:https://doi.org/10.1016/S0005-7894(05)80221-7","Barlow_1992_msd_15_cr_ar_wl_ar_wl","A - Western"
"19","Barlow, 1992","Barlow_1992_msd_15_cr_otherpsy_wl_otherpsy_wl",0.190239751702804,0.438000101746315,"other psy","wl","USA","H",1,"other psy","wl","other psy","wl","ct+ar (this should be considered cbt as well)",NA,"PSYvsCTR","msd","co","worry","% day worrying","cr","post",15,44.3,"39.3","11.0",51.3,"30.3","10.0",60.3,"33.2","11.0",49.4,"31.2","10.0",NA,NA,NA,NA,"12.0","20.0","1.0","10.0",NA,NA,NA,NA,NA,NA,NA,1992,"n","ind","ind",15,"us","adul",40,43.75,"clin","gad","adul","some concerns","high risk","high risk","high risk","some concerns","high risk",0,4,1,20,12,NA,NA,10,11,30.3,39.3,51.3,44.3,"wl","other psy",0,NA,NA,NA,NA,NA,NA,"Barlow, D. H., Rapee, R. M., & Brown, T. A. (1992). Behavioral treatment of generalized anxiety disorder. Behavior Therapy, 23(4), 551-570. doi:https://doi.org/10.1016/S0005-7894(05)80221-7","Barlow_1992_msd_15_cr_otherpsy_wl_otherpsy_wl","A - Western"
"20","Butler, 1987","Butler_1987_msd_12_cr_cbt_wl_NA_NA",NA,NA,"cbt","wl","United Kingdom","H",1,"cbt","wl",NA,NA,"Anxiety management training",NA,"PSYvsCTR","msd","co","gen anx","HAMA","cr","post",12,6.6,"NR","22.0",7.6,"NR","19.0",16,"NR","22.0",17.4,"NR","23.0",NA,NA,NA,NA,"22.0","23.0","0.0","4.0",NA,NA,NA,NA,NA,NA,NA,1987,"n","gsh","gsh",12,"uk","adul",37.4,64.44,"clin","gad","adul","some concerns","high risk","low risk","low risk","some concerns","high risk",0,2,0,23,22,NA,NA,19,22,NA,NA,7.6,6.6,NA,NA,0,NA,NA,NA,NA,NA,NA,"Butler, G., Fennell, M., Robson, P., & Gelder, M. (1991). Comparison of behavior therapy and cognitive behavior therapy in the treatment of generalized anxiety disorder. J Consult Clin Psychol, 59(1), 167-175. ","Butler_1987_msd_12_cr_cbt_wl_NA_NA","A - Western"
"21","Butler, 1987","Butler_1987_msd_12_cr_cbt_wl_NA_NA",NA,NA,"cbt","wl","United Kingdom","H",1,"cbt","wl",NA,NA,"Anxiety management training",NA,"PSYvsCTR","msd","co","GAD","assessor rating","cr","post",12,2.6,"NR","22.0",2.7,"NR","19.0",5.5,"NR","22.0",5.6,"NR","23.0",NA,NA,NA,NA,"22.0","23.0","0.0","4.0",NA,NA,NA,NA,NA,NA,NA,1987,"n","gsh","gsh",12,"uk","adul",37.4,64.44,"clin","gad","adul","some concerns","high risk","low risk","low risk","some concerns","high risk",0,2,0,23,22,NA,NA,19,22,NA,NA,2.7,2.6,NA,NA,0,NA,NA,NA,NA,NA,NA,"Butler, G., Fennell, M., Robson, P., & Gelder, M. (1991). Comparison of behavior therapy and cognitive behavior therapy in the treatment of generalized anxiety disorder. J Consult Clin Psychol, 59(1), 167-175. ","Butler_1987_msd_12_cr_cbt_wl_NA_NA","A - Western"
"22","Butler, 1991","Butler_1991_msd_12_cr_cbt_wl_cbt_wl",0.95501389682443,0.343196243262139,"cbt","wl","United Kingdom","H",1,"cbt","wl","cbt","wl",NA,NA,"PSYvsCTR","msd","co","gen anx","HAMA","cr","post",12,7.9,"4.8","19.0",13.2,"6.0","19.0",16.4,"4.8","19.0",15.4,"3.2","19.0",NA,NA,NA,NA,"19.0","19.0","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,1991,"n","ind","ind",11,"uk","adul",35,58.96,"clin","gad","adul","some concerns","low risk","low risk","low risk","low risk","some concerns",0,3,1,19,19,NA,NA,19,19,6,4.8,13.2,7.9,"wl","cbt",0,NA,NA,NA,NA,NA,NA,"Butler, G., Fennell, M., Robson, P., & Gelder, M. (1991). Comparison of behavior therapy and cognitive behavior therapy in the treatment of generalized anxiety disorder. J Consult Clin Psychol, 59(1), 167-175. ","Butler_1991_msd_12_cr_cbt_wl_cbt_wl","A - Western"
"23","Butler, 1991","Butler_1991_msd_12_cr_bt_wl_bt_wl",0.0783002316924018,0.329049662414542,"bt","wl","United Kingdom","H",1,"bt","wl","bt","wl","bt+progressive muscolar relaxation",NA,"PSYvsCTR","msd","co","gen anx","HAMA","cr","post",12,12.7,"6.5","18.0",13.2,"6.0","19.0",15.8,"2.7","19.0",15.4,"3.2","19.0",NA,NA,NA,NA,"19.0","19.0","1.0","0.0",NA,NA,NA,NA,NA,NA,NA,1991,"n","ind","ind",11,"uk","adul",35,58.96,"clin","gad","adul","some concerns","low risk","low risk","low risk","low risk","some concerns",0,3,1,19,19,NA,NA,19,18,6,6.5,13.2,12.7,"wl","bt",0,NA,NA,NA,NA,NA,NA,"Butler, G., Fennell, M., Robson, P., & Gelder, M. (1991). Comparison of behavior therapy and cognitive behavior therapy in the treatment of generalized anxiety disorder. J Consult Clin Psychol, 59(1), 167-175. ","Butler_1991_msd_12_cr_bt_wl_bt_wl","A - Western"
"24","Carl, 2020","Carl_2020_msd_6_sr_cbt_wl_NA_NA",0.681008648673204,0.128593096870365,"cbt","wl","United Kingdom","H",1,"cbt","wl",NA,NA,NA,NA,"PSYvsCTR","msd","itt","GAD","GAD-7","sr","post",6,9.46,"4.67","128.0",12.66,"4.7","128.0",15.6,"2.8","128.0",15.6,"3.1","128.0",NA,NA,NA,NA,"128.0","128.0","21.0","6.0",NA,NA,NA,NA,NA,NA,NA,2020,"n","ind","ind",4,"uk","adul",30.9,68,"com","gad","adul","low risk","low risk","low risk","low risk","low risk","low risk",1,2,0,128,128,NA,NA,128,128,4.7,4.67,12.66,9.46,NA,NA,1,NA,NA,NA,NA,NA,NA,"Carl, J. R., Miller, C. B., Henry, A. L., Davis, M. L., Stott, R., Smits, J. A. J., . . . Espie, C. A. (2020). Efficacy of digital cognitive behavioral therapy for moderate-to-severe symptoms of generalized anxiety disorder: A randomized controlled trial. Depression and Anxiety. doi:10.1002/da.23079","Carl_2020_msd_6_sr_cbt_wl_NA_NA","A - Western"
