"","study",".id",".g",".g_se","condition_arm1","condition_arm2","country_origin","income","CHANGES","multi_arm1","multi_arm2","primary_calc","outcome_type","instrument","rating","mean_arm1","sd_arm1","n_arm1","mean_arm2","sd_arm2","n_arm2","mean_change_arm1","mean_change_arm2","sd_change_arm1","sd_change_arm2","n_change_arm1","n_change_arm2","dich_paper","event_arm1","event_arm2","totaln_arm1","totaln_arm2","precalc_g","precalc_g_se","precalc_log_rr","precalc_log_rr_se","other_stat","baseline_m_arm1","baseline_sd_arm1","baseline_n_arm1","baseline_m_arm2","baseline_sd_arm2","baseline_n_arm2","rand_arm1","rand_arm2","attr_arm1","attr_arm2","year","time_weeks","time_weeks_needs_cleaning","time","comorbid_mental","format","format_details","n_sessions_arm1","country","age_group","mean_age","percent_women","recruitment","diagnosis","target_group","sg","ac","ba","itt","rob","adm","notes","outcome_rank","primary",".log_rr",".log_rr_se",".event_arm1",".event_arm2",".totaln_arm1",".totaln_arm2","full_ref","doi","abstract","title","url","journal","id_study",".id.1","culture"
"107","Carta, 2012","Carta_2012_msd_bdi-1_post_12month_self-report_cbt_cau_NA_NA",0.248,0.251,"cbt","cau","Italy","H",NA,NA,NA,1,"msd","bdi-1","self-report",10.6,5.2,34,12.3,8.2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,9.1,34,17.1,6.4,30,NA,NA,NA,NA,2012,"12 month",NA,"post","n","ind","ind",12,"eu","adul",42.48,0.66,"clin","mood","adul",0,0,"sr",0,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,"Carta MG, Petretto D, Adamo S, Bhat KM, Lecca ME, Mura G, et al. Counseling in primary care improves depression and quality of life. Clinical Practice and Epidemiology in Mental Health. 2012;8.",NA,"Introduction: To measure the effectiveness on Quality of Life of adjunctive cognitive behavioral counseling in the setting of General Practitioners (GPs) along with the treatment as usual (TAU;) for the treatment of depression. Methods: Six month-controlled trial of patients who were referred to randomly assigned GPs (four for experimental group of patients and ten for the control) was done. Experimental sample had 34 patients with DSM-IV diagnosis of Depression (Depressed Episode, Dysthymia, or Adjustment Disorder with Depressed Mood) receiving the TAU supplemented with counseling. Control group had 30 patients with diagnosis of Depression receiving only the TAU. Results: The Beck Depression Inventory (BDI) score improved in both groups. Patients in the experimental group showed greater improvement compared to the control group at T2. The World Health Organization Quality OF Life Questionnaire (WHOQOL) score also improved in the experimental group but not in the control group. The improvement in the experimental group was statistically significant in terms of both BDI and WHOQOL scores. Conclusions: Adding counseling to TAU in general medical practice settings is more effective in controlling the symptoms of depression and improving the quality of life as measured over a period of six months, than TAU alone. These results while encouraging, also calls for a larger study involving a largersample size and a longer period of time. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)","Counseling in primary care improves depression and quality of life","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-39418-001&site=ehost-live and drpetretto@unica.it","Clinical Practice and Epidemiology in Mental Health","Carta, 2012","Carta_2012_msd_bdi-1_post_12month_self-report_cbt_cau_NA_NA","A - Western"
"108","Casanas, 2012","Casanas_2012_remission(cut-off)_bdi-1_post_6&9month_self-report_cbt_cau_NA_NA",0.452,0.171,"cbt","cau","Spain","H",NA,NA,NA,0,"remission (cut-off)","bdi-1","self-report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Remission (score of 11 or lower on BDI)",41,21,119,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,"6 & 9 month",NA,"post","n","grp","grp",9,"eu","adul",53.38,0.89,"clin","mdd","adul",1,1,"sr",1,4,NA,NA,2,0,0.6084250072,0.2338319028,41,21,119,112,"Casanas R, Catalan R, del Val JL, Real J, Valero S, Casas M. Effectiveness of a psycho-educational group program for major depression in primary care: A randomized controlled trial. BMC psychiatry. 2012;12:230.","10.1186/1471-244x-12-230","BACKGROUND: Studies show the effectiveness of group psychoeducation in reducing symptoms in people with depression. However, few controlled studies that have included aspects of personal care and healthy lifestyle (diet, physical exercise, sleep) together with cognitive-behavioral techniques in psychoeducation are proven to be effective.The objective of this study is to assess the effectiveness of a psychoeducational program, which includes aspects of personal care and healthy lifestyle, in patients with mild/moderate depression symptoms in Primary Care (PC). METHODS: In a randomized, controlled trial, 246 participants over 20 years old with ICD-10 major depression were recruited through nurses/general practitioners at 12 urban Primary Care Centers (PCCs) in Barcelona. The intervention group (IG) (n=119) received a group psychoeducational program (12 weekly, 1.5 h sessions led by two nurses) and the control group (CG) (n=112) received usual care. Patients were assessed at baseline and at, 3, 6 and 9 months. The main outcome measures were the BDI, EQ-5D and remission based upon the BDI. RESULTS: 231 randomized patients were included, of whom 85 had mild depression and 146 moderate depression. The analyses showed significant differences between groups in relation to remission of symptoms, especially in the mild depression group with a high rate of 57% (p=0.009) at post-treatment and 65% (p=0.006) at 9 month follow up, and only showed significant differences on the BDI at post-treatment (p=0.016; effect size Cohen's d'=.51) and at 6 and 9 month follow-up (p= 0.048; d'=.44).In the overall and moderate sample, the analyses only showed significant differences between groups on the BDI at post-treatment, p=0.02 (d'=.29) and p=0.010 (d'=.47), respectively.The psychoeducation group improved significantly on the EQ-5D at short and long-term. CONCLUSIONS: This psychoeducational intervention is a short and long-term effective treatment for patients with mild depression symptoms. It results in a high remission rate, is recommended in PC and can be carried out by nurses with previous training. In moderate patients, group psychoeducation is effective in the short-term. TRIAL REGISTRATION: Clinical Trials.gov identifier NCT00841737.","Effectiveness of a psycho-educational group program for major depression in primary care: a randomized controlled trial","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3551665/pdf/1471-244X-12-230.pdf","BMC Psychiatry","Casanas, 2012","Casanas_2012_remission(cut-off)_bdi-1_post_6&9month_self-report_cbt_cau_NA_NA","A - Western"
"109","Casanas, 2012","Casanas_2012_msd_bdi-1_post_6&9month_self-report_cbt_cau_NA_NA",0.287,0.132,"cbt","cau","Spain","H",NA,NA,NA,1,"msd","bdi-1","self-report",15.42,7.53,119,17.54,7.18,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9,5.68,119,19.62,5.79,112,NA,NA,NA,NA,2012,"6 & 9 month",NA,"post","n","grp","grp",9,"eu","adul",53.38,0.89,"clin","mdd","adul",1,1,"sr",1,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,"Casanas R, Catalan R, del Val JL, Real J, Valero S, Casas M. Effectiveness of a psycho-educational group program for major depression in primary care: A randomized controlled trial. BMC psychiatry. 2012;12:230.","10.1186/1471-244x-12-230","BACKGROUND: Studies show the effectiveness of group psychoeducation in reducing symptoms in people with depression. However, few controlled studies that have included aspects of personal care and healthy lifestyle (diet, physical exercise, sleep) together with cognitive-behavioral techniques in psychoeducation are proven to be effective.The objective of this study is to assess the effectiveness of a psychoeducational program, which includes aspects of personal care and healthy lifestyle, in patients with mild/moderate depression symptoms in Primary Care (PC). METHODS: In a randomized, controlled trial, 246 participants over 20 years old with ICD-10 major depression were recruited through nurses/general practitioners at 12 urban Primary Care Centers (PCCs) in Barcelona. The intervention group (IG) (n=119) received a group psychoeducational program (12 weekly, 1.5 h sessions led by two nurses) and the control group (CG) (n=112) received usual care. Patients were assessed at baseline and at, 3, 6 and 9 months. The main outcome measures were the BDI, EQ-5D and remission based upon the BDI. RESULTS: 231 randomized patients were included, of whom 85 had mild depression and 146 moderate depression. The analyses showed significant differences between groups in relation to remission of symptoms, especially in the mild depression group with a high rate of 57% (p=0.009) at post-treatment and 65% (p=0.006) at 9 month follow up, and only showed significant differences on the BDI at post-treatment (p=0.016; effect size Cohen's d'=.51) and at 6 and 9 month follow-up (p= 0.048; d'=.44).In the overall and moderate sample, the analyses only showed significant differences between groups on the BDI at post-treatment, p=0.02 (d'=.29) and p=0.010 (d'=.47), respectively.The psychoeducation group improved significantly on the EQ-5D at short and long-term. CONCLUSIONS: This psychoeducational intervention is a short and long-term effective treatment for patients with mild depression symptoms. It results in a high remission rate, is recommended in PC and can be carried out by nurses with previous training. In moderate patients, group psychoeducation is effective in the short-term. TRIAL REGISTRATION: Clinical Trials.gov identifier NCT00841737.","Effectiveness of a psycho-educational group program for major depression in primary care: a randomized controlled trial","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3551665/pdf/1471-244X-12-230.pdf","BMC Psychiatry","Casanas, 2012","Casanas_2012_msd_bdi-1_post_6&9month_self-report_cbt_cau_NA_NA","A - Western"
"110","Castonguay, 2004","Castonguay_2004_otherdich(sign.change)_bdi-1_post_6month_self-report_cbt_wl_NA_NA",1.952,0.724,"cbt","wl","USA","H",NA,NA,NA,0,"other dich (sign. change)","bdi-1","self-report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sig. change BDI (cutoff score based on RCI)",10,2,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,"6 month",NA,"post","n","ind","ind",16,"us","adul",38.8,0.75,"com","mdd","adul",0,0,"sr",0,1,NA,NA,2,0,1.514127733,0.6396021491,10,2,11,10,"Castonguay LG, Schut AJ, Aikens DE, Constantino MJ, Laurenceau J-P, Bologh L, et al. Integrative cognitive therapy for depression: A preliminary investigation. Journal of Psychotherapy Integration. 2004;14(1):4-20.","10.1037/1053-0479.14.1.4","This study is a preliminary investigation of an integrative treatment aimed at improving the efficacy of cognitive therapy (CT) for depression. The development of the treatment protocol was based on process findings, which suggested that strategies used in CT to resolve alliance ruptures may actually exacerbate problems in the therapeutic relationship. The protocol integrates, within the traditional CT treatment manual, procedures to repair alliance ruptures that are derived from or consistent with humanistic and interpersonal therapies. Although conducted by inexperienced therapists, the integrative treatment led to greater improvement than a waiting-list condition. The results also compare favorably to previous findings for CT. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)","Integrative Cognitive Therapy for Depression: A Preliminary Investigation","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-11891-002&site=ehost-live and lgc3@psu.edu","Journal of Psychotherapy Integration","Castonguay, 2004","Castonguay_2004_otherdich(sign.change)_bdi-1_post_6month_self-report_cbt_wl_NA_NA","A - Western"
"111","Castonguay, 2004","Castonguay_2004_msd_bdi-1_post_6month_self-report_cbt_wl_NA_NA",1.841,0.528,"cbt","wl","USA","H",NA,NA,NA,1,"msd","bdi-1","self-report",4.82,3.66,11,17.5,8.8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.36,4.34,11,27.5,5.28,10,NA,NA,NA,NA,2004,"6 month",NA,"post","n","ind","ind",16,"us","adul",38.8,0.75,"com","mdd","adul",0,0,"sr",0,1,NA,NA,2,0,NA,NA,NA,NA,NA,NA,"Castonguay LG, Schut AJ, Aikens DE, Constantino MJ, Laurenceau J-P, Bologh L, et al. Integrative cognitive therapy for depression: A preliminary investigation. Journal of Psychotherapy Integration. 2004;14(1):4-20.","10.1037/1053-0479.14.1.4","This study is a preliminary investigation of an integrative treatment aimed at improving the efficacy of cognitive therapy (CT) for depression. The development of the treatment protocol was based on process findings, which suggested that strategies used in CT to resolve alliance ruptures may actually exacerbate problems in the therapeutic relationship. The protocol integrates, within the traditional CT treatment manual, procedures to repair alliance ruptures that are derived from or consistent with humanistic and interpersonal therapies. Although conducted by inexperienced therapists, the integrative treatment led to greater improvement than a waiting-list condition. The results also compare favorably to previous findings for CT. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)","Integrative Cognitive Therapy for Depression: A Preliminary Investigation","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-11891-002&site=ehost-live and lgc3@psu.edu","Journal of Psychotherapy Integration","Castonguay, 2004","Castonguay_2004_msd_bdi-1_post_6month_self-report_cbt_wl_NA_NA","A - Western"
"112","Castonguay, 2004","Castonguay_2004_msd_hdrs_post_6month_clinician_cbt_wl_NA_NA",1.65,0.511,"cbt","wl","USA","H",NA,NA,NA,1,"msd","hdrs","clinician",4.05,2.53,11,11.7,5.89,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,4.4,11,18,2.66,10,NA,NA,NA,NA,2004,"6 month",NA,"post","n","ind","ind",16,"us","adul",38.8,0.75,"com","mdd","adul",0,0,"1",0,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,"Castonguay LG, Schut AJ, Aikens DE, Constantino MJ, Laurenceau J-P, Bologh L, et al. Integrative cognitive therapy for depression: A preliminary investigation. Journal of Psychotherapy Integration. 2004;14(1):4-20.","10.1037/1053-0479.14.1.4","This study is a preliminary investigation of an integrative treatment aimed at improving the efficacy of cognitive therapy (CT) for depression. The development of the treatment protocol was based on process findings, which suggested that strategies used in CT to resolve alliance ruptures may actually exacerbate problems in the therapeutic relationship. The protocol integrates, within the traditional CT treatment manual, procedures to repair alliance ruptures that are derived from or consistent with humanistic and interpersonal therapies. Although conducted by inexperienced therapists, the integrative treatment led to greater improvement than a waiting-list condition. The results also compare favorably to previous findings for CT. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)","Integrative Cognitive Therapy for Depression: A Preliminary Investigation","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-11891-002&site=ehost-live and lgc3@psu.edu","Journal of Psychotherapy Integration","Castonguay, 2004","Castonguay_2004_msd_hdrs_post_6month_clinician_cbt_wl_NA_NA","A - Western"
"113","Castonguay, 2004","Castonguay_2004_otherdich(sign.change)_hdrs_post_6month_clinician_cbt_wl_NA_NA",1.245,0.575,"cbt","wl","USA","H",NA,NA,NA,0,"other dich (sign. change)","hdrs","clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sig. change HDRS (cutoff score based on RCI)",9,3,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,"6 month",NA,"post","n","ind","ind",16,"us","adul",38.8,0.75,"com","mdd","adul",0,0,"1",0,1,NA,NA,1,0,1.003302109,0.5035229424,9,3,11,10,"Castonguay LG, Schut AJ, Aikens DE, Constantino MJ, Laurenceau J-P, Bologh L, et al. Integrative cognitive therapy for depression: A preliminary investigation. Journal of Psychotherapy Integration. 2004;14(1):4-20.","10.1037/1053-0479.14.1.4","This study is a preliminary investigation of an integrative treatment aimed at improving the efficacy of cognitive therapy (CT) for depression. The development of the treatment protocol was based on process findings, which suggested that strategies used in CT to resolve alliance ruptures may actually exacerbate problems in the therapeutic relationship. The protocol integrates, within the traditional CT treatment manual, procedures to repair alliance ruptures that are derived from or consistent with humanistic and interpersonal therapies. Although conducted by inexperienced therapists, the integrative treatment led to greater improvement than a waiting-list condition. The results also compare favorably to previous findings for CT. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)","Integrative Cognitive Therapy for Depression: A Preliminary Investigation","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-11891-002&site=ehost-live and lgc3@psu.edu","Journal of Psychotherapy Integration","Castonguay, 2004","Castonguay_2004_otherdich(sign.change)_hdrs_post_6month_clinician_cbt_wl_NA_NA","A - Western"
"114","Chan, 2012","Chan_2012_msd_bdi-2_post_0_self-report_cbt_wl_cbt(cbt)_wl",2.672,0.485,"cbt","wl","China","UM",NA,"cbt (cbt)","wl",1,"msd","bdi-2","self-report",14.94,0.6,17,23.5,4.45,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.82,14.09,17,28.13,14.25,16,NA,NA,NA,NA,2012,"0",NA,"post","n","grp","grp",10,"eas","adul",46.43,0.82,"clin","mdd","adul",0,1,"sr",0,2,NA,NA,2,0,NA,NA,NA,NA,NA,NA,"Chan AS, Wong QY, Sze SL, Kwong PP, Han YM, Cheung MC. A Chinese Chan-based mind-body intervention for patients with depression. Journal of Affective Disorders. 2012;142(1-3):283-9.","10.1016/j.jad.2012.05.018","BACKGROUND: Given the recent growing interest and encouraging findings in studies of alternative treatments for depression, the present randomized controlled trial study aimed to compare the effect of a newly developed Chinese Chan-based Dejian Mind-Body Intervention (DMBI) with the Cognitive Behavioral Therapy (CBT) on improving depressive symptoms in patients with depression. METHODS: Seventy-five participants diagnosed with major depressive disorder were randomly assigned to receive either 10-session CBT or DMBI, or placed on a waitlist. Pre-post measurements included record of anti-depressants treatment, ratings by psychiatrists who were blinded to the experimental design and self-report on mood measures, and performance in a cognitive test tapping concentration ability. RESULTS: Both the CBT and DMBI groups demonstrated significantly reduced overall depressive syndrome after intervention at large effect size (0.93-1.10). Furthermore, the DMBI group (p<0.05), but not the CBT or waitlist groups, demonstrated significant reduction in intake of anti-depressants, and significant improvement in specific depression-related symptoms including difficulty in concentration (p=0.002), and problems in gastrointestinal health (p=0.02) and overall sleep quality (p<0.001). LIMITATIONS: This study has provided some evidence for the short-term effect of the DMBI on Chinese population. Its long-term effect on a larger sample and on Caucasian population warrants further investigation. CONCLUSIONS: The present findings suggest that a Chinese Chan-based Mind-Body intervention has positive effects on improving mood and health conditions of individuals with depression.","A Chinese Chan-based mind-body intervention for patients with depression","http://ac.els-cdn.com/S0165032712003205/1-s2.0-S0165032712003205-main.pdf?_tid=1fc8ddfe-248f-11e5-aa6e-00000aacb361&acdnat=1436263463_d30be99134a2e7788224911d0b50b36d and http://ac.els-cdn.com/S0165032712003205/1-s2.0-S0165032712003205-main.pdf?_tid=83ba195e-586a-11e5-8afc-00000aacb362&acdnat=1441965200_a7a60932760daa7a544f14067b083cd0","J Affect Disord","Chan, 2012","Chan_2012_msd_bdi-2_post_0_self-report_cbt_wl_cbt(cbt)_wl","A - Western"
"115","Chan, 2012","Chan_2012_msd_bdi-2_post_0_self-report_otherpsy_wl_otherpsy(dmbi)_wl",1.485,0.396,"other psy","wl","China","UM",NA,"other psy (dmbi)","wl",1,"msd","bdi-2","self-report",17.94,2.7,17,23.5,4.45,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.29,14.84,17,28.13,14.25,16,NA,NA,NA,NA,2012,"0",NA,"post","n","grp","grp",10,"eas","adul",46.43,0.82,"clin","mdd","adul",0,1,"sr",0,2,NA,NA,2,0,NA,NA,NA,NA,NA,NA,"Chan AS, Wong QY, Sze SL, Kwong PP, Han YM, Cheung MC. A Chinese Chan-based mind-body intervention for patients with depression. Journal of Affective Disorders. 2012;142(1-3):283-9.","10.1016/j.jad.2012.05.018","BACKGROUND: Given the recent growing interest and encouraging findings in studies of alternative treatments for depression, the present randomized controlled trial study aimed to compare the effect of a newly developed Chinese Chan-based Dejian Mind-Body Intervention (DMBI) with the Cognitive Behavioral Therapy (CBT) on improving depressive symptoms in patients with depression. METHODS: Seventy-five participants diagnosed with major depressive disorder were randomly assigned to receive either 10-session CBT or DMBI, or placed on a waitlist. Pre-post measurements included record of anti-depressants treatment, ratings by psychiatrists who were blinded to the experimental design and self-report on mood measures, and performance in a cognitive test tapping concentration ability. RESULTS: Both the CBT and DMBI groups demonstrated significantly reduced overall depressive syndrome after intervention at large effect size (0.93-1.10). Furthermore, the DMBI group (p<0.05), but not the CBT or waitlist groups, demonstrated significant reduction in intake of anti-depressants, and significant improvement in specific depression-related symptoms including difficulty in concentration (p=0.002), and problems in gastrointestinal health (p=0.02) and overall sleep quality (p<0.001). LIMITATIONS: This study has provided some evidence for the short-term effect of the DMBI on Chinese population. Its long-term effect on a larger sample and on Caucasian population warrants further investigation. CONCLUSIONS: The present findings suggest that a Chinese Chan-based Mind-Body intervention has positive effects on improving mood and health conditions of individuals with depression.","A Chinese Chan-based mind-body intervention for patients with depression","http://ac.els-cdn.com/S0165032712003205/1-s2.0-S0165032712003205-main.pdf?_tid=1fc8ddfe-248f-11e5-aa6e-00000aacb361&acdnat=1436263463_d30be99134a2e7788224911d0b50b36d and http://ac.els-cdn.com/S0165032712003205/1-s2.0-S0165032712003205-main.pdf?_tid=83ba195e-586a-11e5-8afc-00000aacb362&acdnat=1441965200_a7a60932760daa7a544f14067b083cd0","J Affect Disord","Chan, 2012","Chan_2012_msd_bdi-2_post_0_self-report_otherpsy_wl_otherpsy(dmbi)_wl","A - Western"
"116","Chan, 2012","Chan_2012_msd_hdrs_post_0_clinician_otherpsy_wl_otherpsy(dmbi)_wl",0.685,0.359,"other psy","wl","China","UM",NA,"other psy (dmbi)","wl",1,"msd","hdrs","clinician",6.88,4.47,17,10,4.41,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.06,4.48,17,11.56,5.53,16,NA,NA,NA,NA,2012,"0",NA,"post","n","grp","grp",10,"eas","adul",46.43,0.82,"clin","mdd","adul",0,1,"1",0,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,"Chan AS, Wong QY, Sze SL, Kwong PP, Han YM, Cheung MC. A Chinese Chan-based mind-body intervention for patients with depression. Journal of Affective Disorders. 2012;142(1-3):283-9.","10.1016/j.jad.2012.05.018","BACKGROUND: Given the recent growing interest and encouraging findings in studies of alternative treatments for depression, the present randomized controlled trial study aimed to compare the effect of a newly developed Chinese Chan-based Dejian Mind-Body Intervention (DMBI) with the Cognitive Behavioral Therapy (CBT) on improving depressive symptoms in patients with depression. METHODS: Seventy-five participants diagnosed with major depressive disorder were randomly assigned to receive either 10-session CBT or DMBI, or placed on a waitlist. Pre-post measurements included record of anti-depressants treatment, ratings by psychiatrists who were blinded to the experimental design and self-report on mood measures, and performance in a cognitive test tapping concentration ability. RESULTS: Both the CBT and DMBI groups demonstrated significantly reduced overall depressive syndrome after intervention at large effect size (0.93-1.10). Furthermore, the DMBI group (p<0.05), but not the CBT or waitlist groups, demonstrated significant reduction in intake of anti-depressants, and significant improvement in specific depression-related symptoms including difficulty in concentration (p=0.002), and problems in gastrointestinal health (p=0.02) and overall sleep quality (p<0.001). LIMITATIONS: This study has provided some evidence for the short-term effect of the DMBI on Chinese population. Its long-term effect on a larger sample and on Caucasian population warrants further investigation. CONCLUSIONS: The present findings suggest that a Chinese Chan-based Mind-Body intervention has positive effects on improving mood and health conditions of individuals with depression.","A Chinese Chan-based mind-body intervention for patients with depression","http://ac.els-cdn.com/S0165032712003205/1-s2.0-S0165032712003205-main.pdf?_tid=1fc8ddfe-248f-11e5-aa6e-00000aacb361&acdnat=1436263463_d30be99134a2e7788224911d0b50b36d and http://ac.els-cdn.com/S0165032712003205/1-s2.0-S0165032712003205-main.pdf?_tid=83ba195e-586a-11e5-8afc-00000aacb362&acdnat=1441965200_a7a60932760daa7a544f14067b083cd0","J Affect Disord","Chan, 2012","Chan_2012_msd_hdrs_post_0_clinician_otherpsy_wl_otherpsy(dmbi)_wl","A - Western"
"117","Chan, 2012","Chan_2012_msd_hdrs_post_0_clinician_cbt_wl_cbt(cbt)_wl",0.604,0.357,"cbt","wl","China","UM",NA,"cbt (cbt)","wl",1,"msd","hdrs","clinician",6.82,5.73,17,10,4.41,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.24,3.9,17,11.56,5.53,16,NA,NA,NA,NA,2012,"0",NA,"post","n","grp","grp",10,"eas","adul",46.43,0.82,"clin","mdd","adul",0,1,"1",0,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,"Chan AS, Wong QY, Sze SL, Kwong PP, Han YM, Cheung MC. A Chinese Chan-based mind-body intervention for patients with depression. Journal of Affective Disorders. 2012;142(1-3):283-9.","10.1016/j.jad.2012.05.018","BACKGROUND: Given the recent growing interest and encouraging findings in studies of alternative treatments for depression, the present randomized controlled trial study aimed to compare the effect of a newly developed Chinese Chan-based Dejian Mind-Body Intervention (DMBI) with the Cognitive Behavioral Therapy (CBT) on improving depressive symptoms in patients with depression. METHODS: Seventy-five participants diagnosed with major depressive disorder were randomly assigned to receive either 10-session CBT or DMBI, or placed on a waitlist. Pre-post measurements included record of anti-depressants treatment, ratings by psychiatrists who were blinded to the experimental design and self-report on mood measures, and performance in a cognitive test tapping concentration ability. RESULTS: Both the CBT and DMBI groups demonstrated significantly reduced overall depressive syndrome after intervention at large effect size (0.93-1.10). Furthermore, the DMBI group (p<0.05), but not the CBT or waitlist groups, demonstrated significant reduction in intake of anti-depressants, and significant improvement in specific depression-related symptoms including difficulty in concentration (p=0.002), and problems in gastrointestinal health (p=0.02) and overall sleep quality (p<0.001). LIMITATIONS: This study has provided some evidence for the short-term effect of the DMBI on Chinese population. Its long-term effect on a larger sample and on Caucasian population warrants further investigation. CONCLUSIONS: The present findings suggest that a Chinese Chan-based Mind-Body intervention has positive effects on improving mood and health conditions of individuals with depression.","A Chinese Chan-based mind-body intervention for patients with depression","http://ac.els-cdn.com/S0165032712003205/1-s2.0-S0165032712003205-main.pdf?_tid=1fc8ddfe-248f-11e5-aa6e-00000aacb361&acdnat=1436263463_d30be99134a2e7788224911d0b50b36d and http://ac.els-cdn.com/S0165032712003205/1-s2.0-S0165032712003205-main.pdf?_tid=83ba195e-586a-11e5-8afc-00000aacb362&acdnat=1441965200_a7a60932760daa7a544f14067b083cd0","J Affect Disord","Chan, 2012","Chan_2012_msd_hdrs_post_0_clinician_cbt_wl_cbt(cbt)_wl","A - Western"
"118","Chan, 2013","Chan_2013_msd_gds_post_0_self-report_lrt_cau_NA_NA",1.432,0.444,"lrt","cau","China","UM",NA,NA,NA,1,"msd","gds","self-report",2.5,1.7,14,5.3,2.1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,3,14,6.3,2.5,12,NA,NA,NA,NA,2013,"0",NA,"post","n","ind","ind",5,"eas","old",69.7,0.81,"oth","cut","old",1,0,"sr",1,3,NA,NA,7,1,NA,NA,NA,NA,NA,NA,"Chan MF, Ng SE, Tien A, Man Ho RC, Thayala J. A randomised controlled study to explore the effect of life story review on depression in older Chinese in Singapore. Health and Social Care in the Community. 2013;21(5):545-53.","10.1111/hsc.12043","There is little evidence to support the efficacy of the life storybook creation process, which incorporates the use of narratives, in mediating depression levels. The study aimed to examine the effects of the life storybook creation process on depressive symptoms among older community-dwelling Chinese adults in Singapore. A randomised controlled trial was conducted from January 2011 to March 2012. Twenty-six Chinese aged over 60 years, who were able to communicate in Chinese and/or English, and with mild to severe depression were randomly allocated to either the life storybook (intervention) group (n = 14) or the non-life storybook (control) group (n = 12). Subjects in the intervention group were interviewed on a one to one basis on five sessions over 8 weeks. Depressive symptoms were measured using the Geriatric Depression Scale. Generalised estimating equations were used to examine the effects of the intervention on the elderly peoples' depression level. Significant reductions in depression scores were found in the intervention group from baseline (mean 7.9 [SD 3.0]) to week 8 (2.5 [1.7], chi(2) = 15.25, P < 0.001). At week 8, the intervention group showed a lower level of depression than the control (chi(2) = 4.33, P = 0.037). This study supports the life storybook creation process as an effective intervention for depressed older Chinese adults living in the community. The findings suggest that this intervention may enhance the quality of care provided by healthcare providers as the therapeutic relationship between provider and client is being established.","A randomised controlled study to explore the effect of life story review on depression in older Chinese in Singapore","http://onlinelibrary.wiley.com/store/10.1111/hsc.12043/asset/hsc12043.pdf?v=1&t=i84tg8y7&s=b7cc8f38c6b8500dd6a36a4cbe22f466e9ab24e3 and http://onlinelibrary.wiley.com/store/10.1111/hsc.12043/asset/hsc12043.pdf?v=1&t=iefgrftp&s=20a15a5a42e2707cb1579030d7cfb36e0b321bea","Health Soc Care Community","Chan, 2013","Chan_2013_msd_gds_post_0_self-report_lrt_cau_NA_NA","A - Western"
