"","study",".id",".g",".g_se","condition_arm1","condition_arm2","country_origin","income","multi_arm1","multi_arm2","time_weeks","format","country","rob","db"
"72","Barnhofer, 2009","Barnhofer_2009_remission(diag)_dsm-iv_post_0_clinician_3rd_cau_NA_NA",1.245,0.575,"3rd","cau","United Kingdom","H",NA,NA,"0","grp","uk",4,"dep"
"73","Barnhofer, 2009","Barnhofer_2009_response(50%orcut-off)_bdi-1_post_0_self-report_3rd_cau_NA_NA",1.143,0.638,"3rd","cau","United Kingdom","H",NA,NA,"0","grp","uk",4,"dep"
"74","Barnhofer, 2009","Barnhofer_2009_msd_bdi-2_post_0_self-report_3rd_cau_NA_NA",0.915,0.379,"3rd","cau","United Kingdom","H",NA,NA,"0","grp","uk",4,"dep"
"75","Barrett, 2001","Barrett_2001_remission(cut-off-dysthymia)_hdrs_post_0_clinician_pst_otherctr_NA_NA",0.27,0.26,"pst","other ctr","USA","H",NA,NA,"0","ind","us",4,"dep"
"76","Barrett, 2001","Barrett_2001_remission(cut-off-minordepression)_hdrs_post_0_clinician_pst_otherctr_NA_NA",-0.003,0.297,"pst","other ctr","USA","H",NA,NA,"0","ind","us",4,"dep"
"77","Basirat, 2022","Basirat_2022_msd_bdi-2_post_10_self-report_cbt_cau_NA_NA",0.971,0.339,"cbt","cau","Iran","LM",NA,NA,"10","grp","oth",4,"dep"
"78","Baumeister, 2021","Baumeister_2021_msd_phq-9_post_0_self-report_cbt_cau_NA_NA",0.446,0.14,"cbt","cau","Germany","H",NA,NA,"0","gsh","eu",4,"dep"
"79","Baumeister, 2021","Baumeister_2021_msd_qids_post_0_clinician_cbt_cau_NA_NA",0.279,0.139,"cbt","cau","Germany","H",NA,NA,"0","gsh","eu",4,"dep"
"80","Baumeister, 2021","Baumeister_2021_msd_hdrs-17_post_0_clinician_cbt_cau_NA_NA",0.214,0.139,"cbt","cau","Germany","H",NA,NA,"0","gsh","eu",4,"dep"
"81","Baumgartner, 2021","Baumgartner_2021_msd_ces-d_post_0_self-report_cbt_wl_cbt(alcoholuse&depression)_wl",0.318,0.094,"cbt","wl","Germany","H","cbt (alcohol use & depression)","wl","0","gsh","eu",4,"dep"
"82","Baumgartner, 2021","Baumgartner_2021_msd_ces-d_post_0_self-report_cbt_wl_cbt(alcoholonly)_wl",0.28,0.093,"cbt","wl","Germany","H","cbt (alcohol only)","wl","0","gsh","eu",4,"dep"
"83","Beach, 1992","Beach_1992_msd_bdi-1_post_0_self-report_cbt_wl_cbt(bmt)_wl",1.344,0.406,"cbt","wl","USA","H","cbt (bmt)","wl","0","cpl","us",1,"dep"
"84","Beach, 1992","Beach_1992_msd_bdi-1_post_0_self-report_cbt_wl_cbt(cbt)_wl",1.003,0.389,"cbt","wl","USA","H","cbt (cbt)","wl","0","ind","us",1,"dep"
"85","Bedard, 2014","Bedard_2014_msd_bdi-2_post_0_self-report_3rd_wl_NA_NA",0.518,0.233,"3rd","wl","Canada","H",NA,NA,"0","grp","can",3,"dep"
"86","Bedard, 2014","Bedard_2014_msd_phq-9_post_0_self-report_3rd_wl_NA_NA",0.414,0.235,"3rd","wl","Canada","H",NA,NA,"0","grp","can",3,"dep"
"87","Bedard, 2014","Bedard_2014_msd_scl_post_0_self-report_3rd_wl_NA_NA",0.132,0.231,"3rd","wl","Canada","H",NA,NA,"0","grp","can",3,"dep"
"88","Beeber, 2010","Beeber_2010_remission(cut-off)_ces-d_post_0_self-report_ipt_cau_NA_NA",0.878,0.284,"ipt","cau","USA","H",NA,NA,"0","ind","us",2,"dep"
"89","Beeber, 2010","Beeber_2010_msd_ces-d_post_0_self-report_ipt_cau_NA_NA",0.774,0.246,"ipt","cau","USA","H",NA,NA,"0","ind","us",2,"dep"
"90","Bendig, 2021","Bendig_2021_msd_phq-9_post_0_self-report_cbt_wl_NA_NA",0.315,0.346,"cbt","wl","Germany","H",NA,NA,"0","gsh","eu",4,"dep"
"91","Berger, 2011","Berger_2011_msd_bdi-2_post_0_self-report_cbt_wl_cbt(guidedi-cbt)_wl",1.125,0.302,"cbt","wl","Switzerland","H","cbt (guided i-cbt)","wl","0","gsh","eu",4,"dep"
"92","Berman, 2022","Berman_2022_msd_phq-9_post_12_self-report_3rd_otherctr_NA_NA",0.944,0.487,"3rd","other ctr","USA","H",NA,NA,"12","grp","us",3,"dep"
"93","Berman, 2022","Berman_2022_msd_hdrs_post_12_clinician_3rd_otherctr_NA_NA",1.022,0.491,"3rd","other ctr","USA","H",NA,NA,"12","grp","us",3,"dep"
"94","Beutel, 2014","Beutel_2014_remission(diag)_scid_post_0_clinician_dyn_cau_NA_NA",0.519,0.194,"dyn","cau","Germany","H",NA,NA,"0","ind","eu",4,"dep"
"95","Bilich, 2008","Bilich_2008_msd_dass-d_post_8_self-report_cbt_wl_NA_NA",0.781,0.313,"cbt","wl","Australia","H",NA,NA,"8","gsh","au",2,"dep"
"96","Bilich, 2008","Bilich_2008_msd_bdi-2_post_8_self-report_cbt_wl_NA_NA",0.74,0.312,"cbt","wl","Australia","H",NA,NA,"8","gsh","au",2,"dep"
"97","Boele, 2018","Boele_2018_msd_ces-d_post_0_self-report_pst_wl_NA_NA",0.61,0.293,"pst","wl","Netherlands","H",NA,NA,"0","gsh","eu",4,"dep"
"98","Boeschoten, 2017","Boeschoten_2017_otherdich(sign.improv)_bdi-1_post_0_self-report_pst_wl_NA_NA",0.313,0.184,"pst","wl","Netherlands","H",NA,NA,"0","gsh","eu",4,"dep"
"99","Boeschoten, 2017","Boeschoten_2017_otherdich(recovery)_bdi-1_post_0_self-report_pst_wl_NA_NA",0.211,0.221,"pst","wl","Netherlands","H",NA,NA,"0","gsh","eu",4,"dep"
"100","Boeschoten, 2017","Boeschoten_2017_msd_bdi-2_post_0_self-report_pst_wl_NA_NA",0.078,0.162,"pst","wl","Netherlands","H",NA,NA,"0","gsh","eu",4,"dep"
"101","Bohlmeijer, 2011","Bohlmeijer_2011_msd_ces-d_post_0_self-report_3rd_wl_NA_NA",0.596,0.212,"3rd","wl","Netherlands","H",NA,NA,"0","grp","eu",4,"dep"
"102","Bolton, 2003","Bolton_2003_msd_hscl-d_post_0_clinician_ipt_cau_NA_NA",1.317,0.131,"ipt","cau","Uganda","L",NA,NA,"0","grp","oth",3,"dep"
"103","Bolton, 2003","Bolton_2003_remission(diag)_dsm-iv_post_0_clinician_ipt_cau_NA_NA",0.923,0.153,"ipt","cau","Uganda","L",NA,NA,"0","grp","oth",3,"dep"
"104","Bower, 2021","Bower_2021_msd_ces-d_post_0_self-report_otherpsy_wl_otherpsy_wl",0.236,0.156,"other psy","wl","USA","H","other psy","wl","0","grp","us",2,"dep"
"105","Bower, 2021","Bower_2021_msd_ces-d_post_0_self-report_otherpsy_otherctr_otherpsy_otherctr",0.045,0.155,"other psy","other ctr","USA","H","other psy","other ctr","0","grp","us",2,"dep"
"106","Bowman, 1995","Bowman_1995_msd_bdi-1_post_0_self-report_pst_wl_pst(self-examinationtherapy)_wl",1.479,0.51,"pst","wl","USA","H","pst (self-examination therapy)","wl","0","gsh","us",1,"dep"
"107","Bowman, 1995","Bowman_1995_msd_hdrs_post_0_clinician_pst_wl_pst(self-examinationtherapy)_wl",1.101,0.483,"pst","wl","USA","H","pst (self-examination therapy)","wl","0","gsh","us",0,"dep"
"108","Bowman, 1995","Bowman_1995_msd_hdrs_post_0_clinician_cbt_wl_cbt(cognitivebibliotherapy)_wl",0.96,0.474,"cbt","wl","USA","H","cbt (cognitive bibliotherapy)","wl","0","gsh","us",0,"dep"
"109","Bowman, 1995","Bowman_1995_msd_bdi-1_post_0_self-report_cbt_wl_cbt(cognitivebibliotherapy)_wl",0.934,0.473,"cbt","wl","USA","H","cbt (cognitive bibliotherapy)","wl","0","gsh","us",1,"dep"
"110","Bowman, 1995","Bowman_1995_otherdich(sign.change)_hdrs_post_0_clinician_cbt_wl_cbt(cognitivebibliotherapy)_wl",0.518,0.563,"cbt","wl","USA","H","cbt (cognitive bibliotherapy)","wl","0","gsh","us",0,"dep"
"111","Bowman, 1995","Bowman_1995_otherdich(sign.change)_hdrs_post_0_clinician_pst_wl_pst(self-examinationtherapy)_wl",0.518,0.563,"pst","wl","USA","H","pst (self-examination therapy)","wl","0","gsh","us",0,"dep"
"112","Braun, 2021","Braun_2021_msd_qids-sr16_post_0_self-report_otherpsy_otherctr_NA_NA",0.281,0.109,"other psy","other ctr","Germany","H",NA,NA,"0","gsh","eu",4,"dep"
"113","Brown, 1984","Brown_1984_msd_ces-d_post_0_self-report_cbt_wl_cbt(cbtgroup)_wl",0.617,0.369,"cbt","wl","USA","H","cbt (cbt group)","wl","0","grp","us",1,"dep"
"114","Brown, 1984","Brown_1984_msd_bdi-1_post_0_self-report_cbt_wl_cbt(cbtphone)_wl",0.447,0.408,"cbt","wl","USA","H","cbt (cbt phone)","wl","0","gsh","us",1,"dep"
"115","Brown, 1984","Brown_1984_msd_ces-d_post_0_self-report_cbt_wl_cbt(cbtphone)_wl",0.417,0.408,"cbt","wl","USA","H","cbt (cbt phone)","wl","0","gsh","us",1,"dep"
"116","Brown, 1984","Brown_1984_msd_ces-d_post_0_self-report_cbt_wl_cbt(cbtindividual)_wl",0.372,0.413,"cbt","wl","USA","H","cbt (cbt individual)","wl","0","ind","us",1,"dep"
"117","Brown, 1984","Brown_1984_msd_bdi-1_post_0_self-report_cbt_wl_cbt(cbtindividual)_wl",0.276,0.412,"cbt","wl","USA","H","cbt (cbt individual)","wl","0","ind","us",1,"dep"
"118","Brown, 1984","Brown_1984_msd_bdi-1_post_0_self-report_cbt_wl_cbt(cbtgroup)_wl",0.22,0.363,"cbt","wl","USA","H","cbt (cbt group)","wl","0","grp","us",1,"dep"
"119","Buhrman, 2015","Buhrman_2015_otherdich(sign.change)_madrs-s_post_0_self-report_cbt_wl_NA_NA",1.134,0.399,"cbt","wl","Sweden","H",NA,NA,"0","gsh","eu",4,"dep"
"120","Buhrman, 2015","Buhrman_2015_msd_madrs-s_post_0_self-report_cbt_wl_NA_NA",0.297,0.28,"cbt","wl","Sweden","H",NA,NA,"0","gsh","eu",4,"dep"
"121","Buntrock, 2015","Buntrock_2015_msd_ces-d_post_0_self-report_otherpsy_cau_NA_NA",0.658,0.102,"other psy","cau","Germany","H",NA,NA,"0","gsh","eu",4,"dep"
"122","Buntrock, 2015","Buntrock_2015_otherdich(sign.change)_ces-d_post_0_self-report_otherpsy_cau_NA_NA",0.639,0.116,"other psy","cau","Germany","H",NA,NA,"0","gsh","eu",4,"dep"
"123","Buntrock, 2015","Buntrock_2015_remission(cut-off)_ces-d_post_0_self-report_otherpsy_cau_NA_NA",0.634,0.123,"other psy","cau","Germany","H",NA,NA,"0","gsh","eu",4,"dep"
"124","Burns, 2007","Burns_2007_remission(cut-off)_gds_post_6month_self-report_otherpsy_cau_NA_NA",0.404,0.223,"other psy","cau","United Kingdom","H",NA,NA,"6 month","ind","uk",4,"dep"
"125","Burns, 2013","Burns_2013_msd_cis-r_post_18weeks_self-report_cbt_cau_NA_NA",0.954,0.395,"cbt","cau","United Kingdom","H",NA,NA,"18 weeks","ind","uk",4,"dep"
"126","Burns, 2013","Burns_2013_msd_epds_post_18weeks_self-report_cbt_cau_NA_NA",0.939,0.394,"cbt","cau","United Kingdom","H",NA,NA,"18 weeks","ind","uk",4,"dep"
"127","Burns, 2013","Burns_2013_msd_phq-9_post_18weeks_self-report_cbt_cau_NA_NA",0.897,0.393,"cbt","cau","United Kingdom","H",NA,NA,"18 weeks","ind","uk",4,"dep"
"128","Burns, 2013","Burns_2013_remission(diag)_cis-r_post_18weeks_self-report_cbt_cau_NA_NA",0.674,0.433,"cbt","cau","United Kingdom","H",NA,NA,"18 weeks","ind","uk",4,"dep"
"129","Carlbring, 2013","Carlbring_2013_remission(cut-off)_bdi-1_post_3month_self-report_3rd_wl_NA_NA",1.008,0.448,"3rd","wl","Sweden","H",NA,NA,"3 month","gsh","eu",4,"dep"
"130","Carlbring, 2013","Carlbring_2013_msd_bdi-2_post_3month_self-report_3rd_wl_NA_NA",0.855,0.234,"3rd","wl","Sweden","H",NA,NA,"3 month","gsh","eu",4,"dep"
"131","Carlbring, 2013","Carlbring_2013_msd_madrs-s_post_3month_self-report_3rd_wl_NA_NA",0.633,0.229,"3rd","wl","Sweden","H",NA,NA,"3 month","gsh","eu",4,"dep"
"132","Carr, 2017","Carr_2017_msd_bdi-2_post_3month_self-report_cbt_cau_NA_NA",0.399,0.223,"cbt","cau","Ireland","H",NA,NA,"3 month","grp","eu",2,"dep"
"133","Carr, 2017","Carr_2017_msd_madrs-s_post_3month_self-report_cbt_cau_NA_NA",0.314,0.222,"cbt","cau","Ireland","H",NA,NA,"3 month","grp","eu",2,"dep"
"134","Carr, 2017","Carr_2017_msd_hdrs_post_3month_clinician_cbt_cau_NA_NA",0.296,0.222,"cbt","cau","Ireland","H",NA,NA,"3 month","grp","eu",2,"dep"
"135","Carta, 2012","Carta_2012_msd_bdi-1_post_12month_self-report_cbt_cau_NA_NA",0.248,0.251,"cbt","cau","Italy","H",NA,NA,"12 month","ind","eu",1,"dep"
"136","Casanas, 2012","Casanas_2012_remission(cut-off)_bdi-1_post_6&9month_self-report_cbt_cau_NA_NA",0.452,0.171,"cbt","cau","Spain","H",NA,NA,"6 & 9 month","grp","eu",4,"dep"
"137","Casanas, 2012","Casanas_2012_msd_bdi-1_post_6&9month_self-report_cbt_cau_NA_NA",0.287,0.132,"cbt","cau","Spain","H",NA,NA,"6 & 9 month","grp","eu",4,"dep"
"138","Castonguay, 2004","Castonguay_2004_otherdich(sign.change)_bdi-1_post_6month_self-report_cbt_wl_NA_NA",1.952,0.724,"cbt","wl","USA","H",NA,NA,"6 month","ind","us",1,"dep"
"139","Castonguay, 2004","Castonguay_2004_msd_bdi-1_post_6month_self-report_cbt_wl_NA_NA",1.841,0.528,"cbt","wl","USA","H",NA,NA,"6 month","ind","us",1,"dep"
"140","Castonguay, 2004","Castonguay_2004_msd_hdrs_post_6month_clinician_cbt_wl_NA_NA",1.65,0.511,"cbt","wl","USA","H",NA,NA,"6 month","ind","us",1,"dep"
"141","Castonguay, 2004","Castonguay_2004_otherdich(sign.change)_hdrs_post_6month_clinician_cbt_wl_NA_NA",1.245,0.575,"cbt","wl","USA","H",NA,NA,"6 month","ind","us",1,"dep"
"142","Chan, 2012","Chan_2012_msd_bdi-2_post_0_self-report_cbt_wl_cbt(cbt)_wl",2.672,0.485,"cbt","wl","China","UM","cbt (cbt)","wl","0","grp","eas",2,"dep"
"143","Chan, 2012","Chan_2012_msd_bdi-2_post_0_self-report_otherpsy_wl_otherpsy(dmbi)_wl",1.485,0.396,"other psy","wl","China","UM","other psy (dmbi)","wl","0","grp","eas",2,"dep"
"144","Chan, 2012","Chan_2012_msd_hdrs_post_0_clinician_otherpsy_wl_otherpsy(dmbi)_wl",0.685,0.359,"other psy","wl","China","UM","other psy (dmbi)","wl","0","grp","eas",2,"dep"
"145","Chan, 2012","Chan_2012_msd_hdrs_post_0_clinician_cbt_wl_cbt(cbt)_wl",0.604,0.357,"cbt","wl","China","UM","cbt (cbt)","wl","0","grp","eas",2,"dep"
