study,condition_arm1,condition_arm2,multi_arm1,multi_arm2,outcome_type,instrument,completer,time,time_weeks,rating,mean_arm1,sd_arm1,n_arm1,mean_arm2,sd_arm2,n_arm2,m_baseline_arm1,sd_baseline_arm1,n_baseline_arm1,m_baseline_arm2,sd_baseline_arm2,n_baseline_arm2,dich_type,event_arm1,event_arm2,totaln_arm1,totaln_arm2,.g,.g_se,condition_arm1.detail,condition_arm2.detail,condition_arm1.lumped_category,condition_arm1.intermediate_category,condition_arm1.meta_analysis,n_randomized_arm1,n_randomized_arm2,total_n_randomized,condition_arm1.psychotherapy_subclass,condition_arm1.treatment_description,condition_arm1.session_length,condition_arm1.frequency,condition_arm1.treatment_duration_detail,format,delivery_method,narrow_category,study_class,def_treatment_completion,percent_completed,psychotherapy_sessions_mean,psychotherapy_sessions_sd,psychotherapy_sessions_qual,military_status,percent_community,mean_age,country,female_percent,trauma_type,trauma_detail,rob_d1,rob_d2,rob_d3,rob_d4,rob_d5,rob,rob_numeric,arms_compared,year_added_to_ptsd_repository,intervention_group_ctr,design,outcome_assessment_type,statistical_analysis,g_data_source,precalc_g,precalc_g_se,intervention_group.arm1,intervention_group.arm2,year_added_to_repo,.id,ptsd_pubs_id,study_id,.log_rr,.log_rr_se,.event_arm1,.event_arm2,.totaln_arm1,.totaln_arm2,trtResponder,nTrt,ctrResponder,nCtr,logRR,seLogRR,logOR,seLogOR,full_ref
"Ehlers, 2014",Other non-trauma-focused,Waitlist,Supportive counseling C,Waitlist,msd,CAPS,itt,post,12,clinician,47.88,31.77,30,65.28,20.64,30,74.6,15.39,30,69.95,14.17,30,,,,,,0.6410757381,0.2649192403,Supportive counseling,Waitlist,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,30,30,121,Non-Trauma-focused,Therapy focused on patients’ emotional reactions rather than their cognitions; designed to provide a credible therapeutic alternative to control for nonspecific therapeutic factors,"90 minutes, 60 minutes for booster sessions",Weekly,plus optional monthly booster session for 3 months,Individual,In Person,Other non-trauma-focused,Psychotherapy,,,,,10.27 (3.21) regular sessions and 2.20 (1.32) booster sessions,Community,1,39,U.K.,0.5868,Mixed,"child other abuse, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (traumatic death of others, not specified)",High,Low,Low,Low,Low,High,1,C vs D,2019,D,ps-ps-ps-ct,Structured Clinical Interview,Hierarchical linear modeling and Cohen's d effect sizes for continuous outcomes; chi-squared for dichotomous outcomes,Follow-up,0.641,0.265,C,D,2019,Ehlers_2014_precalcfromVA_CAPS_post_12.00_clinician_Othernon-trauma-focused_Waitlist_SupportivecounselingC_Waitlist,41886,ehlers2014,,,,,,,11,30,2,30,1.704748092238425,0.7240458716424149,2.092513623247189,0.8241692517746249,"Ehlers A, Hackmann A, Grey N, et al. A randomized controlled trial of 7-day intensive and standard weekly cognitive therapy for PTSD and emotion-focused supportive therapy. Am J Psychiatry. 2014 Mar;171(3):294-304. doi: 10.1176/appi.ajp.2013.13040552. PMID: 24480899."
"ElBarazi, 2022",TF-Cognitive Therapy,Other,,,msd,CAPS,itt,post,12,clinician,24.4,11.8,50,62.1,5.3,39,67.2,2.8,50,67,3.1,50,,,,,,3.924519477,0.365628319,Cognitive Processing Therapy (CPT),Placebo,TF-CBT,Primarily cognitive,TF-CT,50,50,150,Trauma-focused,Manual-guided cognitive therapy consisting of weekly 45-50 minute sessions for 12 weeks,45-50 minutes,Weekly,,Individual,In Person,TF-Cognitive Therapy,Psychotherapy & pharmacotherapy,,,,,,Community,1,,Egypt,0.0467,Mixed,"Accidents; Community/school violence; Rape/sexual assault; Other (war, threatened physical assault, threatened sexual violence)",Some Concerns,Low,Low,Some Concerns,Low,Some Concerns,2,A vs C,2023,C,ps-ct,Structured Clinical Interview,Generalized estimating equations,Follow-up,3.925,0.369,A,C,2023,ElBarazi_2022_precalcfromVA_CAPS_post_12.00_clinician_TF-CognitiveTherapy_Other_NA_NA,1620168,elbarazi2022,,,,,,,39,50,0,39,Inf,Inf,Inf,Inf,"ElBarazi A, Badary OA, Elmazar MM, et al. Cognitive Processing Therapy versus medication for the treatment of comorbid substance use disorder and post-traumatic stress disorder in Egyptian patients (randomized clinical trial). Journal of Evidence-Based Psychotherapies. 2022;22(2):63-90. doi: 10.24193/jebp.2022.2.13."
"Engel, 2015",Other non-trauma-focused,TAU,,,msd,PCL,itt,post,6,self-report,50.72,18.76,29,48.52,13.97,29,58,9.95,40,54.48,11.23,33,,,,,,-0.1312268592,0.2629031115,Internet-based facilitated self-help,Treatment as usual (TAU),Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,43,37,80,,"Online CBT-based and stress inoculation training approach in a Nurse-guided format.





Includes online educational information about PTSD, stress, and trauma. Homework activities on strategies to manage stress and anger, and to promote better sleep hygiene. Training in cognitive reframing techniques.",15 to 30 minutes,Three times weekly,,Individual,Technology Assisted,Other non-trauma-focused,Other study class,,,,,,Mixed,,36.43,U.S.,0.1875,Mixed,"combat-related, MST",Low,Low,Low,Some Concerns,Low,Some Concerns,2,A vs B,2019,B,ps-ct,Self report,Procedure mixed-model regression,Follow-up,-0.131,0.263,A,B,2019,Engel_2015_precalcfromVA_PCL_post_6.00_self-report_Othernon-trauma-focused_TAU_NA_NA,44647,engel2015,,,,,,,4,29,2,29,0.6931471805599453,0.8252481340534014,0.7701082216960737,0.9094157668729067,"Engel CC, Litz B, Magruder KM, et al. Delivery of self training and education for stressful situations (DESTRESS-PC): a randomized trial of nurse assisted online self-management for PTSD in primary care. Gen Hosp Psychiatry. 2015 Jul-Aug;37(4):323-8. doi: 10.1016/j.genhosppsych.2015.04.007. PMID: 25929985."
"Falsetti, 2008",Exposure Therapy,Other,,,msd,MPSS,itt,post,12,self-report,43.71,29.34,14,67.32,26.43,23,62.08,21.39,29,73.79,19.63,31,,,,,,0.8385896141,0.3533183482,Exposure therapy,Minimal attention,TF-CBT,Primarily exposure,Prim exposure,29,31,60,Trauma-focused,"Treatment followed the ""Patient Manual and Therapy Manual"" by Falsetti and Resnick. Treatment included components of CPT adapted from Resick & Schnicke (1993) and ""Mastery of Your Anxiety and Panic"" by Barlow & Craske (1988, 1994). Participants were presented with cognitive-behavioral models of PTSD and panic, and participated in exposures directed at physiological, cognitive, and behavioral channels of anxiety.",90 minutes,Weekly,,Individual,In Person,Exposure Therapy,Psychotherapy,,,,,,Community,1,35,U.S.,1,Mixed,"child sexual abuse, rape/sexual assault, community/school violence, natural or manmade disasters",Some Concerns,High,High,Low,Low,High,1,A vs B,2019,B,ps-ct,Self report,"MANOVA and ANOVA for change in mean score, chi-square test for diagnostic change and clinically meaningful response",Follow-up,0.839,0.354,A,B,2019,Falsetti_2008_precalcfromVA_MPSS_post_12.00_self-report_ExposureTherapy_Other_NA_NA,82073,falsetti2008,,,,,,,5,14,3,23,1.007262510079882,0.6468589498763982,1.309333319983762,0.8333333333333334,"Falsetti SA, Resnick HS, Davis JL. Multiple channel exposure therapy for women with PTSD and comorbid panic attacks. Cogn Behav Ther. 2008;37(2):117-30. doi: 10.1080/16506070801969088. PMID: 18470742."
"Fecteau, 1999",TF-CBT,Waitlist,,,msd,CAPS,completer,post,4,clinician,37.5,30.4,10,74.6,24.7,10,70.9,16.2,10,77.3,22.7,10,,,,,,1.282895865,0.4948293833,Trauma-focused cognitive behavioral therapy (TF-CBT),Waitlist,TF-CBT,Mixed exposure/ cognitive,TF-CBT,12,11,23,Trauma-focused,"Treatment included education about post-trauma reactions, relaxation training, imaginal exposure therapy with cognitive restructuring, instruction for self-directed graduated in-vivo behavior practice.",2 hours,Weekly,,Individual,In Person,TF-CBT,Psychotherapy,completed all 4 sessions,0.9091,,,,Community,1,41.3,Canada,0.7,Accidents,NR,Some Concerns,High,Low,High,Low,High,1,A vs B,2019,B,ps-ct,Structured Clinical Interview,ANCOVA,Follow-up,1.283,0.501,A,B,2019,Fecteau_1999_precalcfromVA_CAPS_post_4.00_clinician_TF-CBT_Waitlist_NA_NA,21968,fecteau1999,,,,,,,5,10,1,10,1.6094379124341,0.9999999999999999,2.19722457733622,1.229272594305718,"Fecteau GW, Nicki RM. Cognitive behavioural treatment of post traumatic stress disorder after motor vehicle accident. Behav. Cogn. Psychother. 1999 Jul;27(3):201-14."
"Foa, 1991",CBT without trauma focus,Waitlist,Stress Inoculation Training (SIT) A,Waitlist,msd,PSS-I,completer,post,4.5,clinician,11.07,3.97,14,19.5,7.18,10,24.48,6.62,14,24.43,4.64,10,,,,,,1.476149232,0.4691750602,Stress Inoculation Training (SIT),Waitlist,Non-trauma-focused,CBT without trauma focus,NTF-CBT,17,10,55,Non-Trauma-focused,"Individual sessions with female therapist. Two sessions devoted to information gathering, description of treatment method and rationale, and explanation for origin of fear and anxiety. Seven sessions comprised of breathing exercises, deep muscle relaxation, thought stopping to counter ruminative or obsessive thinking, cognitive restructuring, guided self-dialogue, covert modeling, and role-playing.",90 minutes,Twice weekly,,Individual,In Person,CBT without trauma focus,Psychotherapy,,,,,,Community,1,31.8,U.S.,1,Rape/sexual assault,NR,Some Concerns,High,Low,Low,Low,High,1,A vs D,2019,D,ps-ps-ps-ct,Structured Clinical Interview,ANOVA with post-hoc Tukey's HSD test change in mean score,Follow-up,1.476,0.475,A,D,2019,Foa_1991_precalcfromVA_PSS-I_post_4.50_clinician_CBTwithouttraumafocus_Waitlist_StressInoculationTraining(SIT)A_Waitlist,2437,foa1991,,,,,,,9,14,2,10,1.167605160155061,0.6630856201747553,1.97408102602201,0.9675283515799995,"Foa EB, Rothbaum BO, Riggs DS, et al. Treatment of posttraumatic stress disorder in rape victims: a comparison between cognitive-behavioral procedures and counseling. J Consult Clin Psychol. 1991 Oct;59(5):715-23.  PMID: 1955605."
"Foa, 1991",PE,Waitlist,Prolonged Exposure (PE) B,Waitlist,msd,PSS-I,completer,post,4.5,clinician,15.4,11.09,10,19.5,7.18,10,25.78,5.01,10,24.43,4.64,10,,,,,,0.4203405718,0.4525654663,Prolonged Exposure (PE),Waitlist,TF-CBT,Primarily exposure,Prim exposure,14,10,55,Trauma-focused,"Individual sessions with female therapist. Two sessions devoted to information gathering, explanation of treatment rationale and treatment planning. Seven sessions comprised of imaginal exposure in which participants were instructed to imagine reliving the assault in vivid detail while describing it aloud, using present tense, and repeating for approximately 60 minutes of the session. Homework as at least once daily listening to tape-recorded narrative, with additional homework including in vivo exposure.",90 minutes,Twice weekly,,Individual,In Person,PE,Psychotherapy,,,,,,Community,1,31.8,U.S.,1,Rape/sexual assault,NR,Some Concerns,High,Low,Low,Low,High,1,B vs D,2019,D,ps-ps-ps-ct,Structured Clinical Interview,ANOVA with post-hoc Tukey's HSD test change in mean score,Follow-up,0.42,0.453,B,D,2019,Foa_1991_precalcfromVA_PSS-I_post_4.50_clinician_PE_Waitlist_ProlongedExposure(PE)B_Waitlist,2437,foa1991,,,,,,,4,10,2,10,0.6931471805599453,0.7416198487095663,0.9808292530117262,1.020620726159657,"Foa EB, Rothbaum BO, Riggs DS, et al. Treatment of posttraumatic stress disorder in rape victims: a comparison between cognitive-behavioral procedures and counseling. J Consult Clin Psychol. 1991 Oct;59(5):715-23.  PMID: 1955605."
"Foa, 1991",Other non-trauma-focused,Waitlist,Supportive counseling C,Waitlist,msd,PSS-I,completer,post,4.5,clinician,18.09,7.13,11,19.5,7.18,10,24.39,6.62,11,24.43,4.64,10,,,,,,0.1892160343,0.4379886453,Supportive counseling,Waitlist,Non-trauma-focused,Other non-trauma-focused,Other non-trauma-focused,14,10,55,Non-Trauma-focused,"Individual sessions with female therapist. Two sessions devoted to information gathering, explanation of treatment rationale and treatment planning. Seven sessions in which participants were taught a general problem-solving technique with therapists in unconditionally supportive role. Homework with diary-keeping of daily problems and attempts at problem solving. Participants were immediately redirected to focus on current daily problems if discussion of assault occurred.",90 minutes,Twice weekly,,Individual,In Person,Other non-trauma-focused,Psychotherapy,,,,,,Community,1,31.8,U.S.,1,Rape/sexual assault,NR,Some Concerns,High,Low,Low,Low,High,1,C vs D,2019,D,ps-ps-ps-ct,Structured Clinical Interview,ANOVA with post-hoc Tukey's HSD test change in mean score,Follow-up,0.189,0.438,C,D,2019,Foa_1991_precalcfromVA_PSS-I_post_4.50_clinician_Othernon-trauma-focused_Waitlist_SupportivecounselingC_Waitlist,2437,foa1991,,,,,,,2,11,2,10,-0.09531017980432489,0.8994948077064754,-0.1177830356563835,1.111805338677194,"Foa EB, Rothbaum BO, Riggs DS, et al. Treatment of posttraumatic stress disorder in rape victims: a comparison between cognitive-behavioral procedures and counseling. J Consult Clin Psychol. 1991 Oct;59(5):715-23.  PMID: 1955605."
"Foa, 1999",PE,Waitlist,Prolonged Exposure (PE) A,Waitlist,msd,PSS-I,completer,post,5,clinician,11.7,7.32,23,26.93,8.47,15,29.48,9.94,23,,,,,,,,,1.914687239,0.400589049,Prolonged Exposure (PE),Waitlist,TF-CBT,Primarily exposure,Prim exposure,25,15,96,Trauma-focused,"Individual treatment following manual; 2 sessions included information gathering, treatment rationale, construction of in vivo exposure hierarchy, and in vivo homework; remaining sessions included homework review, imaginal exposure, and homework assignment; homework to listen to tape recordings of imaginal exposure from sessions, and in vivo exposure.","120 minutes for 2 sessions


90 minutes for 7 sessions",Twice weekly,,Individual,In Person,PE,Psychotherapy,did not drop out of treatment,0.92,,,,Community,1,34.9,U.S.,1,Mixed,"rape/sexual assault, community/school violence",Some Concerns,Low,Low,Low,Low,Some Concerns,2,A vs D,2019,D,ps-ps-ps-ct,Structured Clinical Interview,ANCOVAs (following significant MANCOVA) with simple comparisons; repeated measures ANCOVAs for followup assessment periods; chi-squared for categorical outcomes.,Follow-up,1.915,0.405,A,D,2019,Foa_1999_precalcfromVA_PSS-I_post_5.00_clinician_PE_Waitlist_ProlongedExposure(PE)A_Waitlist,9724,foa1999,,,,,,,15,23,,15,,,,,"Foa EB, Dancu CV, Hembree EA, et al. A comparison of exposure therapy, stress inoculation training, and their combination for reducing posttraumatic stress disorder in female assault victims. J Consult Clin Psychol. 1999;67(2):194.  PMID: 10224729."
"Foa, 1999",CBT without trauma focus,Waitlist,Stress Inoculation Training (SIT) B,Waitlist,msd,PSS-I,completer,post,5,clinician,12.89,8.96,19,26.93,8.47,15,29.42,8.69,19,,,,,,,,,1.566846797,0.3964459262,Stress Inoculation Training (SIT),Waitlist,Non-trauma-focused,CBT without trauma focus,NTF-CBT,26,15,96,Non-Trauma-focused,"Individual treatment following manual, program adapted from Veronen and Kilpatrick (1983); 2 sessions included information gathering, breathing retraining, and treatment rationale and planning; remaining 7 sessions focused on coping skills for management of assault-related anxiety and postassault problems; coping skills included: deep muscle relaxation, cue-controlled and differential relaxation, thought stopping, cognitive restructuring, guided self-dialogue, covert modeling, and role-play. Homework to practice the coping skills to manage anxiety and fear in daily activities. Explicit in vivo homework instructions were omitted.","120 minutes for 2 sessions


90 minutes for 7 sessions",Twice weekly,,Individual,In Person,CBT without trauma focus,Psychotherapy,did not drop out of treatment,0.73,,,,Community,1,34.9,U.S.,1,Mixed,"rape/sexual assault, community/school violence",Some Concerns,Low,Low,Low,Low,Some Concerns,2,B vs D,2019,D,ps-ps-ps-ct,Structured Clinical Interview,ANCOVAs (following significant MANCOVA) with simple comparisons; repeated measures ANCOVAs for followup assessment periods; chi-squared for categorical outcomes.,Follow-up,1.567,0.4,B,D,2019,Foa_1999_precalcfromVA_PSS-I_post_5.00_clinician_CBTwithouttraumafocus_Waitlist_StressInoculationTraining(SIT)B_Waitlist,9724,foa1999,,,,,,,11,19,,15,,,,,"Foa EB, Dancu CV, Hembree EA, et al. A comparison of exposure therapy, stress inoculation training, and their combination for reducing posttraumatic stress disorder in female assault victims. J Consult Clin Psychol. 1999;67(2):194.  PMID: 10224729."
"Foa, 1999",Mixed psychotherapy,Waitlist,Prolonged Exposure (PE) + Stress Inoculation Training (SIT) C,Waitlist,msd,PSS-I,completer,post,5,clinician,13.55,9.35,22,26.93,8.47,15,29.95,6.97,22,,,,,,,,,1.453236623,0.3767403924,Prolonged Exposure (PE) + Stress Inoculation Training (SIT),Waitlist,Mixed psychotherapy,Mixed psychotherapy,Mixed psychotherapy,30,15,96,Trauma-focused,"Individual treatment following manual; combination of PE and SIT included education, training on SIT coping skills, in vivo exposure, and imaginal exposure; homework assigned for exposure and coping skill practice","120 minutes for first 2 sessions, 90 minutes for remaining 7 sessions",Twice weekly,,Individual,In Person,Mixed psychotherapy,Psychotherapy,did not drop out of treatment,0.73,,,,Community,1,34.9,U.S.,1,Mixed,"rape/sexual assault, community/school violence",Some Concerns,Low,Low,Low,Low,Some Concerns,2,C vs D,2019,D,ps-ps-ps-ct,Structured Clinical Interview,ANCOVAs (following significant MANCOVA) with simple comparisons; repeated measures ANCOVAs for followup assessment periods; chi-squared for categorical outcomes.,Follow-up,1.453,0.379,C,D,2019,Foa_1999_precalcfromVA_PSS-I_post_5.00_clinician_Mixedpsychotherapy_Waitlist_ProlongedExposure(PE)+StressInoculationTraining(SIT)C_Waitlist,9724,foa1999,,,,,,,12,22,,15,,,,,"Foa EB, Dancu CV, Hembree EA, et al. A comparison of exposure therapy, stress inoculation training, and their combination for reducing posttraumatic stress disorder in female assault victims. J Consult Clin Psychol. 1999;67(2):194.  PMID: 10224729."
"Foa, 2005",TF-CBT,Waitlist,Trauma-focused cognitive behavioral therapy (TF-CBT) A,Waitlist,msd,PSS-I,itt,post,,clinician,16.8,13.2,74,26.8,9.6,26,31.1,8.1,74,33.3,6.2,26,,,,,,0.8014605615,0.2350246892,Trauma-focused cognitive behavioral therapy (TF-CBT),Waitlist,TF-CBT,Mixed exposure/ cognitive,TF-CBT,74,26,104,Trauma-focused,Sessions involved imaginal exposure and participants were taught to identify and challenge erroneous beliefs,≥90 minutes,Once a week,,Individual,In Person,TF-CBT,Psychotherapy,Attended ≥8 therapy sessions and completed a posttreatment assessment,0.595,,,,Community,1,31.3,U.S.,1,Mixed,"rape/sexual assault, intimate partner violence, child sexual abuse",Some Concerns,High,High,Some Concerns,Low,High,1,A vs C,2019,C,ps-ps-ct,Structured Clinical Interview,"Mixed factorial ANOVAs with independent samples t-tests for pairwise comparisons; follow-up assessments analyzed separately (posttreatment, 3-, 6-, and 12-month follow-ups).",Follow-up,0.801,0.235,A,C,2019,Foa_2005_precalcfromVA_PSS-I_post_NA_clinician_TF-CBT_Waitlist_Trauma-focusedcognitivebehavioraltherapy(TF-CBT)A_Waitlist,27946,foa2005,,,,,,,34,74,4,26,1.094097608313583,0.4769032530092769,1.54222916274065,0.5914949789815869,"Foa EB, Hembree EA, Cahill SP, et al. Randomized trial of prolonged exposure for posttraumatic stress disorder with and without cognitive restructuring: outcome at academic and community clinics. J Consult Clin Psychol. 2005;73(5):953. doi: 10.1037/0022-006X.73.5.953. PMID: 16287395."
"Foa, 2005",PE,Waitlist,Prolonged Exposure (PE) B,Waitlist,msd,PSS-I,itt,post,,clinician,17.9,14.5,79,26.8,9.6,26,34,5.9,79,33.3,6.2,26,,,,,,0.6556401156,0.2306446417,Prolonged Exposure (PE),Waitlist,TF-CBT,Primarily exposure,Prim exposure,79,26,104,Trauma-focused,Each session began with reviewing homework and ended with assigning homework. Sessions involved imaginal exposure,≥90 minutes,Once weekly,,Individual,In Person,PE,Psychotherapy,Attended ≥ 8 therapy sessions and completed a posttreatment assessment,0.658,,,,Community,1,31.3,U.S.,1,Mixed,"rape/sexual assault, intimate partner violence, child sexual abuse",Some Concerns,High,High,Some Concerns,Low,High,1,B vs C,2019,C,ps-ps-ct,Structured Clinical Interview,"Mixed factorial ANOVAs with independent samples t-tests for pairwise comparisons; follow-up assessments analyzed separately (posttreatment, 3-, 6-, and 12-month follow-ups).",Follow-up,0.656,0.231,B,C,2019,Foa_2005_precalcfromVA_PSS-I_post_NA_clinician_PE_Waitlist_ProlongedExposure(PE)B_Waitlist,27946,foa2005,,,,,,,38,79,4,26,1.139940484160956,0.4745482305983707,1.628762185260503,0.5883541270618136,"Foa EB, Hembree EA, Cahill SP, et al. Randomized trial of prolonged exposure for posttraumatic stress disorder with and without cognitive restructuring: outcome at academic and community clinics. J Consult Clin Psychol. 2005;73(5):953. doi: 10.1037/0022-006X.73.5.953. PMID: 16287395."
"Foa, 2018",PE,Other,,,msd,PSS-I,itt,post,2,clinician,18.8,6.264,93,23.06,5.722,40,25.2,7.356,110,24.83,5.722,40,,,,,,0.6934826369,0.1938596722,Prolonged Exposure (PE),Minimal attention,TF-CBT,Primarily exposure,Prim exposure,110,40,370,Trauma-focused,"CBT consisting of imaginal exposure followed by processing thoughts and feelings related to the imaginal exposure, in-vivo exposure, psychoeducation about PTSD, and controlled breathing training.",,Once daily on weekdays,,Individual,In Person,PE,Psychotherapy,,,9.04,2.6,,NR,,32.69,U.S.,0.1202,Mixed,"combat-related, other (not specified)",Some Concerns,Low,Low,Low,Low,Some Concerns,2,A vs D,2020,D,ps-ps-ps-ct,Structured Clinical Interview,"Hypothesis 1: arm A superior to arm D, significance 2-sided p<0.05; mixed-model analyses (piecewise models with separate slopes during treatment and follow-up) using available data without imputation.",,,,A,D,2020,Foa_2018_precalcfromVA_PSS-I_post_2.00_clinician_PE_Other_NA_NA,49595,foa2018,,,,,,,15,93,1,40,1.86433016206289,1.015339341547753,2.014903020542265,1.051250781273529,"Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795."
"Fonzo, 2017",PE,Waitlist,,,msd,CAPS,itt,post,,clinician,29.6,21.26,25,64.23,21.77,26,66.33,15.17,36,71.37,14.99,30,,,,,,1.584317609,0.3222499253,Prolonged Exposure (PE),Waitlist,TF-CBT,Primarily exposure,Prim exposure,36,30,66,Trauma-focused,"Manualized procedures according to Foa, Hembree, & Rothbaum 2007. Participants with adequate response to treatment, defined as <30% of PCL-C score at baseline (i.e. 70% reduction from baseline), were given the option to terminate treatment after Session 9. Nonresponders continued through Session 12",90 minutes,Once or twice weekly,9 to 12 sessions total,Individual,In Person,PE,Psychotherapy,,,,,,NR,,36.52,U.S.,0.6515,Mixed,"combat-related, illness/medical procedure, community/school violence, natural or manmade disasters, rape/sexual assault",Some Concerns,Low,High,High,Low,High,1,A vs B,2019,B,ps-ct,Structured Clinical Interview,"Generalized linear mixed effect, Cohen's d for change in mean scores",Follow-up,1.584,0.324,A,B,2019,Fonzo_2017_precalcfromVA_CAPS_post_NA_clinician_PE_Waitlist_NA_NA,48700,fonzo2017,,,,,,,14,25,2,26,1.985130862208595,0.7021161107445356,2.726068706604889,0.8390496582469532,"Fonzo GA, Goodkind MS, Oathes DJ, et al. PTSD psychotherapy outcome predicted by brain activation during emotional reactivity and regulation. Am J Psychiatry. 2017 Dec 1;174(12):1163-74. doi: 10.1176/appi.ajp.2017.16091072. PMID: 28715908."
"Franklin, 2017",PE,TAU,Prolonged Exposure (PE) A,Treatment as usual (TAU),msd,CAPS,itt,post,12,clinician,38.3,17.9,3,61.4,16.8,7,69.7,14.3,12,61.1,9.4,8,,,,,,1.221458446,0.753412345,Prolonged Exposure (PE),Treatment as usual (TAU),TF-CBT,Primarily exposure,Prim exposure,12,8,27,Trauma-focused,PE therapy delivered via streaming-video calls using Tango (free application downloaded to the phone which uses the 3G network); no changes made to PE treatment other than mode of delivery. Participants loaned an iPhone 4 with service plans for duration of treatment.,,Weekly,10 sessions total,Individual,Video,PE,Psychotherapy,completed 10 sessions within 12 weeks,0.3,,,,Veteran,0,46.1,U.S.,0.074,NR,NR,High,High,High,Low,Low,High,1,A vs C,2019,C,ps-ps-ct,Structured Clinical Interview,Mixed models with repeated measures for each outcome,Follow-up,1.221,0.771,A,C,2019,Franklin_2017_precalcfromVA_CAPS_post_12.00_clinician_PE_TAU_ProlongedExposure(PE)A_Treatmentasusual(TAU),50424,franklin2017,,,,,,,1,3,0,7,Inf,Inf,Inf,Inf,"Franklin CL, Cuccurullo LA, Walton JL, et al. Face to face but not in the same place: a pilot study of prolonged exposure therapy. J Trauma Dissociation. 2017 Jan-Feb;18(1):116-30. doi: 10.1080/15299732.2016.1205704. PMID: 27348462."
"Franklin, 2017",PE,TAU,Prolonged Exposure (PE) B,Treatment as usual (TAU),msd,CAPS,itt,post,12,clinician,49.3,20.8,3,61.4,16.8,7,74.3,14.7,7,61.1,9.4,8,,,,,,0.6111042716,0.7064548695,Prolonged Exposure (PE),Treatment as usual (TAU),TF-CBT,Primarily exposure,Prim exposure,7,8,27,Trauma-focused,PE therapy delivered via computer-based teleconferencing equipment at rural VA community-based outpatient clinics; no changes made to PE treatment other than mode of delivery.,,Weekly,10 sessions total,Individual,Video,PE,Psychotherapy,completed 10 sessions within 12 weeks,0.5714,,,,Veteran,0,46.1,U.S.,0.074,NR,NR,High,High,High,Low,Low,High,1,B vs C,2019,C,ps-ps-ct,Structured Clinical Interview,Mixed models with repeated measures for each outcome,Follow-up,0.611,0.711,B,C,2019,Franklin_2017_precalcfromVA_CAPS_post_12.00_clinician_PE_TAU_ProlongedExposure(PE)B_Treatmentasusual(TAU),50424,franklin2017,,,,,,,1,3,0,7,Inf,Inf,Inf,Inf,"Franklin CL, Cuccurullo LA, Walton JL, et al. Face to face but not in the same place: a pilot study of prolonged exposure therapy. J Trauma Dissociation. 2017 Jan-Feb;18(1):116-30. doi: 10.1080/15299732.2016.1205704. PMID: 27348462."
"Gersons, 2000",TF-Other,Waitlist,,,dich,DSM-III-R,itt,post,16,clinician,,,,,,,,,,,,,Not meeting criteria for PTSD according to DSM-III-R,20,10,22,20,1.245529211,0.4774648293,Brief Eclectic Psychotherapy (BEP),Waitlist,TF-Other,TF-Other,TF-Other,22,20,44,Trauma-focused,"Individualized psychotherapy, consisting of psychoeducation, imaginary guidance, writing assignments and mementos, domain of meaning or integration, and a farewell ritual",60 minutes,Once a week,,Individual,In Person,TF-Other,Psychotherapy,,,,,,Community,1,36,The Netherlands,0.119,Other,occupational events,Some Concerns,Low,Low,Low,Low,Some Concerns,2,A vs B,2019,,ps-ct,,,,1.245529211,0.4774648293,A,,2019,Gersons_2000_dich_DSM-III-R_post_16.00_NA_TF-Other_Waitlist_NA_NA,15124,gersons2000,0.5978370008,0.2335496832,20,10,22,20,,,,,,,,,"Gersons BP, Carlier IV, Lamberts RD, et al. Randomized clinical trial of brief eclectic psychotherapy for police officers with posttraumatic stress disorder. J Trauma Stress. 2000 Apr;13(2):333-47. doi: 10.1023/A:1007793803627. PMID: 10838679.."
